|    name |       pseudo z |   pseudo z_error | Epeak (siml) [keV] | Epeak_error (siml) [keV] | Luminosity [erg/s] | Luminosity_error [erg/s] |
| 911209C | 0.853018444784 |  0.0420047341071 |       47.470173181 |                      0.0 |  4.51988137707e+50 |        1.76022706435e+49 |
| 911224A |  1.09502084061 |  0.0326919293615 |       84.259046864 |                      0.0 |  1.49631333974e+51 |        4.01141793151e+49 |
|  911226 |  1.70502687967 |  0.0612375798237 |      99.4964275526 |                      0.0 |  3.08913645709e+51 |        1.20145272275e+50 |
| 920110B |  1.39302379084 |  0.0368730550537 |      111.636873395 |                      0.0 |  3.04876434556e+51 |        8.07066130268e+49 |
| 920121B |  3.93904899649 |  0.0945404071647 |      231.254294273 |                      0.0 |  3.70202734904e+52 |        1.21741014412e+51 |
|  920205 |  2.84103812618 |   0.122243696079 |      139.680064251 |                      0.0 |   1.0106278444e+52 |        5.52576324747e+50 |
| 920216B |  2.50403478985 |  0.0924549244653 |       142.09579925 |                      0.0 |  8.89165428625e+51 |        4.03057834169e+50 |
| 920224B |  4.47405429304 |   0.130508674441 |      203.526500208 |                      0.0 |  3.54683184001e+52 |        1.45276054357e+51 |
| 920229B |  2.66503638376 |  0.0248092710226 |      366.523998136 |                      0.0 |  4.89047832327e+52 |         5.6873533431e+50 |
| 920303B |  8.42909344793 |   0.321083894347 |      254.140975057 |                      0.0 |  1.32232774801e+53 |          7.735900101e+51 |
| 920305C |   1.0370202664 |  0.0396057022363 |      66.1229396667 |                      0.0 |  9.40746959067e+50 |        3.14237745916e+49 |
| 920314B | 0.759017514175 |  0.0325990462602 |      47.7306883711 |                      0.0 |  4.17143857225e+50 |        1.32813965148e+49 |
| 920325B |  1.32902315723 |  0.0205552232501 |      150.715994729 |                      0.0 |  4.87390834075e+51 |        7.39007606148e+49 |
| 920414B | 0.865018563586 |  0.0042073550186 |      253.568169418 |                      0.0 |  8.14088081224e+51 |         3.1551539632e+49 |
| 920423A |  1.52102505805 |   0.161617019374 |      47.1659290645 |                      0.0 |  7.59701817382e+50 |        8.36712496693e+49 |
|  920508 |  11.3481223463 |  0.0476730074866 |      790.126371846 |                      0.0 |  1.47513536942e+54 |        9.78423020845e+51 |
|  920605 |  1.88602867159 |  0.0252109006583 |      232.960403239 |                      0.0 |  1.48890680208e+52 |        2.23448988611e+50 |
|  920606 |  1.40602391954 |  0.0484647900543 |      86.0586997877 |                      0.0 |   1.9702165344e+51 |        6.81810231449e+49 |
| 920620C |  5.57206516335 |   0.142633002164 |      276.226395036 |                      0.0 |  8.20626758428e+52 |        3.05975741578e+51 |
| 920622C |  5.14306091621 |  0.0744712704059 |      349.594137892 |                      0.0 |  1.09533522426e+53 |        2.28125668383e+51 |
| 920622B |  5.80906750968 |   0.168839696867 |      207.373613838 |                      0.0 |  5.32865537161e+52 |        2.27000971843e+51 |
|  920629 |  11.6661254946 |   0.230653576988 |       306.17729475 |                      0.0 |  3.02317051907e+53 |        9.45806317899e+51 |
| 920711A |  2.41603391864 |  0.0605382606161 |      163.700295071 |                      0.0 |  1.08508497021e+52 |        3.30365487955e+50 |
|  920722 |  1.36602352354 |  0.0207144152287 |      147.450445851 |                      0.0 |  4.82685917556e+51 |        7.26008001724e+49 |
| 920803B |   20.170209685 |  0.0286105853717 |      1372.42146822 |                      0.0 |  9.61648103969e+54 |        2.23275424173e+52 |
| 920804A |  2.15803136441 |  0.0813911289306 |      116.722644144 |                      0.0 |  5.30292728738e+51 |        2.34800742069e+50 |
|  920808 |  2.15703135451 |  0.0207532924544 |      298.677640948 |                      0.0 |  2.66412150272e+52 |        3.00874442342e+50 |
| 920811B |  2.15603134461 |  0.0655594537319 |      126.279082632 |                      0.0 |  6.06747209059e+51 |        2.16533434885e+50 |
|  920818 |  1.14502133561 |  0.0422321907951 |      76.0968770553 |                      0.0 |   1.3080892675e+51 |        4.42458493869e+49 |
| 921001A |   5.0370598668 |   0.110278840375 |       264.26669887 |                      0.0 |  6.57395466328e+52 |        2.06308239114e+51 |
| 921023A |  2.60903582936 |  0.0779479599256 |      141.883599851 |                      0.0 |  9.33139456697e+51 |        3.46244810172e+50 |
