|    name |                T-time | T90 [s] | T90_error [s] |    flux | flux_error |  fluence_1 | fluence_1_error |  fluence_2 | fluence_2_error |  fluence_3 | fluence_3_error |  fluence_4 | fluence_4_error |
|  910827 | 1991-08-27 07:31:30.4 |   0.183 |         0.031 |   0.174 |      0.065 |  2.999e-09 |      1.4686e-09 | 3.6999e-09 |      2.1466e-09 | 4.3709e-08 |      5.6884e-09 | 5.2321e-07 |      9.8589e-08 |
|  910828 | 1991-08-28 08:16:59.6 |   1.792 |         0.231 |   0.476 |      0.053 | 2.9184e-09 |      1.1964e-08 | 1.1927e-08 |      1.5382e-08 |  1.324e-07 |      4.1701e-08 | 7.3552e-07 |      3.7769e-07 |
|  910912 | 1991-09-12 05:56:11.9 |   0.303 |         0.027 |   0.381 |      0.057 | 1.7202e-08 |      4.1214e-09 | 2.6698e-08 |      3.3537e-09 | 4.0281e-08 |      7.2842e-09 | 5.8796e-08 |      4.8138e-08 |
|  910916 | 1991-09-16 16:31:50.6 |   0.173 |         0.008 |   0.258 |      0.048 | 1.1022e-08 |      2.4062e-09 | 1.5064e-08 |      1.7885e-09 | 3.7172e-08 |      3.9724e-09 |        0.0 |       7.865e-08 |
|  910919 | 1991-09-19 22:53:56.1 |    1.28 |         1.421 |   1.045 |      0.059 | 3.1359e-08 |      3.4508e-09 | 4.8678e-08 |      3.1092e-09 | 1.7601e-07 |      9.1991e-09 | 2.7345e-07 |      5.9206e-08 |
| 910928B | 1991-09-28 22:47:47.1 |   1.088 |         0.547 |   0.202 |      0.049 | 2.0732e-08 |      1.5289e-08 | 3.2218e-09 |      1.2399e-08 | 5.2752e-08 |      2.8096e-08 |        0.0 |      2.6375e-07 |
| 910928A | 1991-09-28 08:50:16.9 |   0.131 |         0.015 |    0.56 |      0.056 | 1.0464e-08 |      2.3029e-09 | 1.7146e-08 |      1.8681e-09 | 1.2907e-07 |      6.1046e-09 | 4.9699e-07 |      8.8101e-08 |
|  910929 | 1991-09-29 17:11:56.8 |    0.32 |         0.091 |   0.181 |      0.058 | 1.5944e-09 |      2.6437e-09 | 8.5562e-09 |      3.5287e-09 |  2.902e-08 |      7.5106e-09 | 4.6737e-08 |      6.4882e-08 |
|  911002 | 1991-10-02 08:52:51.8 |   0.896 |         0.771 |   0.206 |      0.058 | 9.9393e-09 |      2.6332e-09 | 1.6165e-08 |       3.416e-09 | 2.0607e-08 |      7.2118e-09 | 2.7367e-08 |      4.2736e-08 |
|  911007 | 1991-10-07 15:32:09.2 |   0.384 |         0.143 |   0.381 |      0.064 | 2.5293e-09 |      4.1402e-09 | 7.5625e-09 |      3.5753e-09 | 9.5374e-08 |      9.4977e-09 | 3.8885e-07 |      1.3062e-07 |
| 911016A | 1991-10-16 05:52:49.7 |   0.398 |          0.02 |   1.028 |      0.077 | 1.4178e-08 |      4.1981e-09 | 2.9693e-08 |      3.7883e-09 | 2.2335e-07 |      1.2984e-08 | 3.1483e-07 |      6.8593e-08 |
|  911019 | 1991-10-19 06:59:11.6 |   0.832 |          0.32 |   0.191 |      0.056 |  4.872e-08 |      1.1211e-08 | 1.5794e-08 |      1.1547e-08 | 1.0692e-07 |      3.2873e-08 |  5.682e-08 |      1.8668e-07 |
| 911025B | 1991-10-25 01:54:03.2 |   0.801 |           0.1 |   0.142 |      0.044 | 2.5935e-08 |      9.7068e-09 | 1.7617e-08 |      1.2096e-08 |        0.0 |      3.3622e-08 | 1.7107e-06 |      1.8436e-06 |
| 911025A | 1991-10-25 21:25:14.8 |   1.438 |         0.065 |    1.09 |      0.062 | 4.9321e-08 |      7.3518e-09 | 6.7313e-08 |      6.8361e-09 | 2.9985e-07 |      2.3411e-08 | 1.0529e-06 |      2.5387e-07 |
|  911113 |   1991-11-13 13:41:44 |    0.32 |          0.32 |   0.205 |      0.052 | 6.6279e-09 |      1.2422e-09 | 9.3993e-09 |      1.7686e-09 | 2.2061e-08 |      4.0571e-09 |  3.775e-08 |      7.6575e-08 |
| 911117B | 1991-11-17 14:48:49.7 |   0.161 |         0.016 |   0.693 |      0.063 | 9.9122e-09 |      1.7112e-09 |  2.061e-08 |      1.9768e-09 | 1.5769e-07 |      7.7817e-09 | 9.2861e-07 |      1.3799e-07 |
| 911117A | 1991-11-17 04:35:41.1 |   0.512 |          1.09 |   0.667 |      0.063 | 1.4245e-08 |      2.6031e-09 | 3.3047e-08 |      3.7421e-09 | 1.0893e-07 |      8.8992e-09 | 1.3323e-07 |      6.1486e-08 |
| 911119B | 1991-11-19 06:29:01.6 |   0.192 |         0.091 |   1.368 |      0.072 | 1.9668e-08 |      3.1354e-09 | 3.6021e-08 |      2.6773e-09 | 3.3484e-07 |      8.2869e-09 | 2.6574e-06 |      1.5658e-07 |
| 911120C | 1991-11-20 11:22:25.3 |   0.794 |         0.467 |     0.3 |      0.054 | 5.2164e-09 |      3.3252e-09 | 1.6448e-08 |      3.0222e-09 | 4.6415e-08 |      8.3885e-09 | 9.2896e-08 |       4.497e-08 |
| 911120B | 1991-11-20 22:27:33.1 |   0.187 |         0.078 |   0.472 |      0.054 |  8.756e-09 |      1.7591e-09 | 2.0563e-08 |      1.8209e-09 | 7.2377e-08 |      5.6947e-09 | 2.0393e-07 |      8.3916e-08 |
| 911120A | 1991-11-20 07:52:59.4 |    0.32 |          0.58 |   0.255 |      0.052 | 4.7787e-09 |      2.8954e-09 | 1.4931e-08 |      3.3424e-09 | 3.2435e-08 |      6.0107e-09 |        0.0 |       4.016e-08 |
| 911123A | 1991-11-23 04:24:27.7 |   0.442 |         0.017 |   0.707 |      0.059 | 1.4849e-08 |      4.4968e-09 | 3.1691e-08 |      3.4405e-09 | 1.4168e-07 |       8.191e-09 | 1.3467e-06 |      1.0205e-07 |
| 911129B | 1991-11-29 17:59:51.1 |    0.96 |         0.264 |   0.347 |      0.055 | 7.8274e-09 |      2.4459e-09 | 1.6583e-08 |      3.2218e-09 | 5.4857e-08 |      7.4654e-09 | 6.4974e-08 |      5.2385e-08 |
| 911129A | 1991-11-29 09:56:51.2 |   0.295 |          0.03 |   0.118 |      0.046 | 1.8681e-09 |      2.5639e-09 | 5.9393e-09 |       2.598e-09 | 1.8798e-08 |      6.7569e-09 |        0.0 |      2.7199e-08 |
| 911209C |   1991-12-09 00:56:48 |   0.193 |          0.02 |   0.404 |      0.057 | 2.4175e-09 |      1.1888e-09 | 1.2153e-08 |      1.7757e-09 |  9.765e-08 |      6.5147e-09 | 1.0894e-06 |      1.4915e-07 |
| 911224A | 1991-12-24 06:05:44.2 |   0.763 |         0.536 |    0.68 |      0.062 | 7.9075e-09 |      3.2531e-09 | 3.3551e-08 |      3.9764e-09 | 1.1023e-07 |      8.1043e-09 | 5.6211e-08 |      3.8685e-08 |
|  911226 | 1991-12-26 03:36:41.5 |   0.974 |         0.451 |    0.41 |      0.052 | 4.2294e-08 |      7.6938e-09 | 2.3097e-08 |      8.6109e-09 | 3.6174e-08 |      1.6342e-08 | 7.7532e-08 |      1.7903e-07 |
| 920110B | 1992-01-10 11:04:11.4 |   0.681 |         0.043 |   0.713 |      0.062 | 2.3567e-08 |      3.1699e-09 | 3.4574e-08 |       3.568e-09 | 1.1134e-07 |       8.634e-09 | 1.5483e-07 |      7.7969e-08 |
| 920121B | 1992-01-21 21:56:49.1 |   0.215 |         0.026 |   0.427 |      0.058 | 3.5419e-09 |      1.2981e-09 | 1.9467e-08 |      2.1302e-09 | 7.1334e-08 |      5.3092e-09 |        0.0 |      7.3401e-08 |
|  920205 | 1992-02-05 15:04:31.4 |   0.258 |         0.154 |   0.309 |       0.06 | 8.4114e-09 |      3.0201e-09 | 1.1281e-08 |      3.3142e-09 |   6.84e-08 |      8.9757e-09 | 5.6816e-07 |      9.5999e-08 |
| 920216B | 1992-02-16 13:42:51.8 |   1.408 |          0.59 |   0.393 |      0.061 | 6.4893e-09 |      4.1658e-09 | 1.6486e-08 |      6.2473e-09 | 8.9585e-08 |      1.3605e-08 | 4.6539e-08 |      7.2788e-08 |
| 920224B | 1992-02-24 21:38:00.9 |   1.216 |          0.32 |   0.277 |      0.051 |        0.0 |      4.0474e-09 | 9.1711e-09 |      4.8686e-09 | 7.2214e-08 |      9.8623e-09 | 1.2446e-07 |      9.1751e-08 |
| 920229B | 1992-02-29 19:21:17.2 |   0.192 |         0.453 |   1.803 |      0.073 | 2.8979e-08 |        2.33e-09 | 6.0954e-08 |      2.6477e-09 |  4.069e-07 |      9.9032e-09 | 6.8756e-07 |      1.1089e-07 |
| 920303B | 1992-03-03 07:51:29.8 |   0.461 |         0.449 |   0.132 |       0.07 | 3.0045e-09 |      4.4744e-09 | 4.9292e-09 |      4.4499e-09 | 3.1429e-08 |      7.5804e-09 | 3.3907e-07 |      1.0209e-07 |
| 920305C | 1992-03-05 01:00:42.2 |   0.192 |         0.091 |   0.496 |      0.057 | 3.8078e-08 |      2.0867e-09 | 3.7595e-08 |      2.4253e-09 |  4.894e-08 |      4.2597e-09 |        0.0 |      6.4741e-08 |
| 920314B | 1992-03-14 09:41:51.9 |   1.408 |         0.326 |   0.509 |      0.061 | 6.1755e-08 |      1.2571e-08 | 3.8342e-08 |      1.0721e-08 | 8.4193e-08 |      2.7028e-08 |        0.0 |      5.3636e-07 |
| 920325B | 1992-03-25 12:58:07.9 |   1.088 |         0.264 |   1.299 |      0.065 | 6.1336e-08 |       8.558e-09 | 5.7007e-08 |      9.7416e-09 |  4.639e-07 |      2.8308e-08 | 7.3942e-07 |       3.806e-07 |
| 920414B | 1992-04-14 23:22:41.9 |    0.96 |         0.143 |   7.009 |      0.098 | 1.4362e-07 |      4.4026e-09 |  2.241e-07 |      5.0545e-09 | 1.5113e-06 |      1.6435e-08 |  9.041e-06 |      1.9467e-07 |
| 920423A | 1992-04-23 17:40:22.6 |   0.074 |          0.06 |   0.139 |       0.05 | 1.7964e-09 |      1.4269e-09 | 5.2493e-09 |      1.5623e-09 | 2.6492e-08 |       4.537e-09 | 2.5347e-07 |      1.1723e-07 |
|  920508 | 1992-05-08 03:58:24.8 |   0.384 |         0.091 |   0.513 |      0.052 | 7.2808e-09 |      3.1746e-09 | 2.0478e-08 |       3.099e-09 | 1.0335e-07 |      7.9699e-09 | 6.9017e-07 |      1.0187e-07 |
|  920605 | 1992-06-05 17:05:49.5 |   1.408 |         0.181 |   1.485 |      0.073 | 2.8915e-08 |      1.3387e-08 | 4.8138e-08 |      1.3946e-08 |  6.769e-07 |      3.6407e-08 | 3.2109e-06 |      5.6527e-07 |
|  920606 | 1992-06-06 20:52:19.8 |   0.512 |         0.202 |   0.449 |      0.051 | 4.3569e-09 |      3.6049e-09 | 1.9033e-08 |      3.1432e-09 | 8.8225e-08 |      7.6438e-09 | 5.8213e-08 |      5.7908e-08 |
