|    name |                T-time | T90 [s] | T90_error [s] |    flux | flux_error |  fluence_1 | fluence_1_error |  fluence_2 | fluence_2_error |  fluence_3 | fluence_3_error |  fluence_4 | fluence_4_error |
| 930206A | 1993-02-06 01:16:48.3 |   0.128 |         0.091 |   0.529 |      0.056 | 7.5519e-09 |      1.9227e-09 | 1.9836e-08 |      2.0236e-09 | 1.0649e-07 |      5.6561e-09 | 5.3982e-07 |       1.101e-07 |
| 930219E |   1993-02-19 20:54:06 |   1.152 |         0.607 |    0.29 |      0.051 | 2.8235e-09 |      1.1166e-08 | 1.0243e-08 |      1.2654e-08 | 7.0893e-08 |      3.5449e-08 | 1.1698e-06 |      6.6371e-07 |
| 930219B | 1993-02-19 03:20:40.8 |    0.38 |         0.065 |   0.371 |      0.054 |  7.518e-09 |      3.5075e-09 | 1.4584e-08 |       2.981e-09 | 7.2679e-08 |      8.4345e-09 | 2.1736e-07 |      1.0675e-07 |
|  930220 | 1993-02-20 01:34:58.8 |   0.602 |         0.114 |   0.522 |       0.06 | 7.0019e-09 |       2.823e-09 | 1.3665e-08 |      3.2597e-09 | 1.2106e-07 |      9.8067e-09 | 1.7381e-07 |      1.1686e-07 |
|  930304 |   1993-03-04 08:38:42 |   0.656 |         0.029 |   1.615 |      0.062 | 2.1093e-08 |       2.808e-09 | 2.9111e-08 |      3.0864e-09 | 4.1386e-07 |      1.1004e-08 | 4.1564e-06 |       2.077e-07 |
| 930305A | 1993-03-05 10:49:17.1 |   0.951 |         0.322 |   0.432 |      0.052 | 7.1227e-09 |      3.2153e-09 |   2.03e-08 |      3.1008e-09 | 7.7977e-08 |      7.6019e-09 | 2.4883e-07 |      7.9709e-08 |
|  930324 | 1993-03-24 04:41:27.2 |   0.456 |         0.034 |   0.538 |      0.052 | 4.7054e-09 |      2.8397e-09 | 2.2548e-08 |      3.0636e-09 | 1.0557e-07 |       8.017e-09 | 1.9945e-08 |      5.6262e-08 |
| 930326A | 1993-03-26 06:26:22.5 |   1.954 |         0.129 |   1.294 |      0.059 | 6.9309e-08 |      1.4181e-08 | 1.1541e-07 |      1.5122e-08 | 4.3872e-07 |      3.7434e-08 |        0.0 |      2.5957e-07 |
|  930329 | 1993-03-29 03:09:25.7 |   0.224 |         0.066 |   2.539 |      0.067 | 3.8153e-08 |      2.4002e-09 | 8.5498e-08 |      2.8709e-09 | 5.3248e-07 |      8.9733e-09 |  2.183e-06 |      1.2633e-07 |
| 930405C | 1993-04-05 21:10:23.6 |   0.448 |         0.091 |   0.256 |      0.046 | 4.7646e-09 |      3.0467e-09 | 6.0938e-09 |      2.8048e-09 | 5.9409e-08 |      6.5925e-09 | 7.1664e-08 |      6.9958e-08 |
| 930406B | 1993-04-06 22:03:17.5 |   0.064 |         0.091 |   0.051 |      0.048 | 6.5649e-10 |      1.3862e-09 | 2.3412e-09 |      1.4771e-09 | 1.6178e-08 |      4.2348e-09 | 1.4291e-07 |      1.1253e-07 |
| 930421A | 1993-04-21 04:27:01.7 |   0.272 |         0.133 |   0.444 |      0.054 | 8.5729e-09 |      2.9307e-09 | 1.0532e-08 |        3.02e-09 | 1.0435e-07 |      8.4254e-09 | 4.5113e-07 |      1.3563e-07 |
| 930425B | 1993-04-25 14:54:47.7 |   0.896 |         0.091 |   3.439 |      0.078 | 1.2128e-07 |      3.4687e-09 | 2.2096e-07 |      4.5225e-09 | 4.2043e-07 |      1.0621e-08 | 2.8581e-08 |      5.4723e-08 |
|  930428 | 1993-04-28 01:07:12.6 |   0.608 |         0.041 |    3.07 |      0.075 | 7.6745e-08 |       3.592e-09 | 1.4104e-07 |      4.2788e-09 | 5.4185e-07 |      1.1219e-08 | 1.0273e-06 |      9.5619e-08 |
| 930503D |   1993-05-03 16:57:39 |   0.088 |         0.025 |   0.185 |      0.049 | 1.0904e-09 |      1.0799e-09 | 6.3157e-09 |      1.4095e-09 | 3.2445e-08 |       4.959e-09 | 4.4571e-07 |      1.5534e-07 |
| 930506C | 1993-05-06 18:13:51.8 |   0.804 |         0.009 |   1.522 |       0.06 | 2.8668e-08 |      3.4705e-09 | 4.9015e-08 |      3.4344e-09 | 3.2754e-07 |      9.1762e-09 | 1.3954e-06 |      9.6973e-08 |
|  930510 | 1993-05-10 02:23:10.4 |   0.052 |         0.156 |   0.143 |      0.051 | 1.4436e-09 |      8.3257e-10 |   3.39e-09 |      8.9435e-10 | 1.6898e-08 |      2.7396e-09 | 7.1543e-08 |      7.6222e-08 |
| 930524A | 1993-05-24 17:44:52.9 |    0.96 |         0.256 |    0.37 |      0.048 | 1.0295e-08 |      2.8842e-09 | 1.8961e-08 |      2.8299e-09 | 5.9662e-08 |      6.9218e-09 | 5.4118e-08 |      7.0001e-08 |
|  930526 |   1993-05-26 20:32:34 |   1.008 |          0.04 |   0.813 |      0.058 | 1.1284e-08 |      3.0464e-09 | 2.9384e-08 |      3.2445e-09 | 1.6869e-07 |      9.0495e-09 | 1.9786e-07 |      8.9694e-08 |
|  930528 | 1993-05-28 12:19:14.1 |   0.424 |         0.051 |   0.898 |      0.054 | 1.8109e-08 |      3.3401e-09 | 3.8841e-08 |      2.9436e-09 | 1.6559e-07 |       8.438e-09 | 1.2546e-07 |       7.862e-08 |
|  930529 |   1993-05-29 03:44:57 |    1.28 |         0.091 |   0.268 |      0.053 | 7.9373e-10 |       2.604e-08 | 7.2586e-09 |      1.9489e-08 | 9.6778e-08 |      4.8305e-08 |        0.0 |      4.1205e-07 |
| 930530B | 1993-05-30 09:27:59.6 |   0.568 |         0.193 |   0.483 |      0.049 | 1.0358e-08 |      3.0331e-09 | 2.5414e-08 |      2.7473e-09 | 7.7862e-08 |      7.5938e-09 | 8.7108e-08 |      8.0534e-08 |
| 930601B |   1993-06-01 20:09:42 |   1.536 |         0.604 |   0.412 |      0.058 | 2.1479e-08 |      2.0311e-08 | 4.9971e-08 |      1.6785e-08 | 2.1016e-07 |      5.2519e-08 | 2.0394e-07 |      6.7195e-07 |
| 930605A | 1993-06-05 02:14:48.5 |   0.256 |         0.103 |   0.171 |      0.047 |        0.0 |      2.7526e-09 | 9.5443e-09 |      2.8833e-09 | 2.9522e-08 |      7.5434e-09 | 6.4178e-08 |      7.5241e-08 |
| 930606B | 1993-06-06 20:50:07.1 |   0.496 |         0.011 |   1.585 |      0.065 | 2.4656e-08 |      3.4338e-09 | 4.1405e-08 |      3.5926e-09 | 3.6975e-07 |      1.0386e-08 | 2.1255e-06 |      1.3575e-07 |
| 930608B | 1993-06-08 19:41:34.2 |    1.92 |         0.528 |   0.239 |      0.051 | 7.0833e-08 |      1.6412e-08 | 5.3604e-08 |      1.4926e-08 | 2.8549e-08 |      4.2424e-08 | 1.5324e-06 |      2.2167e-06 |
| 930609B | 1993-06-09 19:26:28.6 |   0.192 |         0.091 |   0.159 |      0.047 | 5.3283e-09 |      1.3356e-09 | 9.8302e-09 |      1.5388e-09 | 1.7269e-08 |      4.1121e-09 | 8.4657e-08 |       1.197e-07 |
| 930614B | 1993-06-14 21:50:54.3 |   0.128 |         0.091 |   0.181 |      0.063 |  4.183e-10 |      2.1537e-09 | 9.0176e-09 |      2.1433e-09 | 3.1302e-08 |      5.5693e-09 | 2.1624e-08 |      8.8974e-08 |
|  930623 | 1993-06-23 03:09:34.2 |   1.407 |         0.346 |   0.358 |      0.049 | 4.6694e-08 |      1.1235e-08 | 5.3954e-08 |      1.0379e-08 |        0.0 |      2.2566e-08 | 1.7528e-05 |      2.3753e-06 |
| 930708A | 1993-07-08 12:18:03.8 |    0.32 |         0.091 |   0.212 |      0.046 | 4.7085e-08 |      1.2263e-08 | 1.7754e-08 |      1.2872e-08 | 7.6343e-08 |      3.1465e-08 |        0.0 |      3.1884e-07 |
| 930719B | 1993-07-19 08:56:14.2 |   0.768 |         0.521 |   0.647 |      0.059 | 1.3438e-09 |      3.5817e-09 |  1.629e-08 |      3.5261e-09 | 1.7054e-07 |      1.0178e-08 | 5.7825e-07 |      9.4834e-08 |
| 930719A | 1993-07-19 11:17:47.2 |   0.208 |         0.058 |   0.167 |      0.051 | 4.2555e-09 |      1.6259e-09 | 3.7993e-09 |      1.5842e-09 | 3.6945e-08 |      4.8256e-09 | 2.6869e-07 |      1.3268e-07 |
| 930721A | 1993-07-21 14:54:52.1 |   1.359 |         0.218 |   0.698 |      0.056 | 3.9104e-08 |      1.8248e-08 | 9.6225e-08 |      1.5794e-08 | 1.9201e-07 |      4.2845e-08 | 7.8353e-07 |      6.8144e-07 |
| 930809A |   1993-08-09 02:25:17 |   0.176 |         0.025 |   0.268 |       0.06 | 5.3081e-09 |      2.5386e-09 | 1.2826e-08 |      1.9651e-09 |  3.475e-08 |      5.3375e-09 |        0.0 |      1.0546e-07 |
|  930811 | 1993-08-11 14:01:41.5 |   0.336 |         0.069 |   0.473 |      0.059 | 1.1125e-08 |      3.8661e-09 | 1.0229e-08 |      3.2249e-09 |  1.123e-07 |      9.0902e-09 | 4.5648e-07 |      1.4902e-07 |
|  930824 |   1993-08-24 06:15:50 |   0.512 |         0.051 |   0.497 |      0.047 | 4.6575e-09 |      2.4588e-09 | 1.4367e-08 |      2.6153e-09 | 1.1607e-07 |      7.8269e-09 | 5.1495e-07 |      1.0998e-07 |
|  930826 | 1993-08-26 18:58:08.7 |   0.128 |         0.091 |   0.341 |      0.047 |        0.0 |      2.3323e-08 | 3.0492e-08 |      1.6624e-08 |  1.355e-07 |      4.0407e-08 | 2.5616e-07 |      3.9633e-07 |
| 930903C | 1993-09-03 02:36:37.3 |   0.359 |         0.075 |   0.664 |      0.049 | 2.0116e-08 |       2.504e-09 | 2.7283e-08 |      2.6902e-09 | 1.2308e-07 |      7.5576e-09 | 1.4808e-07 |      8.8124e-08 |
| 930903A | 1993-09-03 12:52:37.4 |   1.408 |         0.202 |   0.398 |      0.055 | 2.0677e-08 |      1.4748e-08 |  5.187e-08 |      1.6449e-08 | 5.8383e-08 |      4.2296e-08 | 1.2361e-06 |      8.8548e-07 |
| 930905A | 1993-09-05 03:26:30.2 |     0.2 |         0.094 |   4.732 |      0.091 | 1.0405e-07 |      3.2764e-09 | 2.0922e-07 |      4.4473e-09 | 8.9344e-07 |      1.2431e-08 | 2.1639e-06 |       1.525e-07 |
|  930911 | 1993-09-11 23:16:01.4 |    0.68 |         0.115 |   0.821 |      0.055 | 1.8079e-08 |      3.5367e-09 | 2.5495e-08 |      3.0127e-09 | 1.7712e-07 |      8.6928e-09 | 7.4964e-07 |      1.2367e-07 |
| 930913A | 1993-09-13 17:35:14.7 |   0.256 |         0.091 |   0.198 |      0.052 | 4.6333e-08 |      1.9157e-08 | 1.2818e-08 |      1.5515e-08 | 4.4078e-08 |        4.13e-08 |  6.048e-08 |      5.4789e-07 |
| 930922A | 1993-09-22 05:16:56.7 |   0.128 |         0.091 |   0.146 |      0.053 | 4.9436e-09 |       1.449e-09 | 5.7893e-09 |      1.6288e-09 | 1.4777e-08 |      4.5501e-09 | 2.1729e-07 |      1.3533e-07 |
|  931005 |   1993-10-05 15:50:26 |   0.256 |         0.091 |   0.359 |       0.05 | 3.8731e-08 |      1.4337e-08 | 1.7322e-08 |      1.1974e-08 | 1.0745e-07 |      3.1838e-08 | 7.0079e-07 |      7.3515e-07 |
| 931013B | 1993-10-13 17:15:41.8 |   0.256 |         0.091 |     1.2 |      0.063 |   1.86e-08 |      1.0061e-08 | 5.8441e-08 |       9.652e-09 | 2.8458e-07 |      2.6297e-08 |  1.444e-06 |      3.4999e-07 |
| 931014B | 1993-10-14 11:56:04.6 |   0.832 |         0.091 |   0.393 |      0.053 |  1.872e-08 |      2.8849e-09 |  2.837e-08 |      3.1214e-09 | 3.9917e-08 |       6.999e-09 |        0.0 |      7.0083e-08 |
| 931021C |   1993-10-21 13:00:22 |   0.256 |         0.018 |   0.271 |      0.051 | 2.5673e-09 |      1.7087e-09 | 7.7563e-09 |      1.7259e-09 | 5.0127e-08 |       4.553e-09 | 4.6502e-08 |      8.3025e-08 |
|  931022 | 1993-10-22 10:00:09.9 |   0.176 |         0.062 |   0.309 |      0.058 | 4.3734e-09 |      2.0323e-09 | 2.8408e-09 |      1.6894e-09 | 5.4765e-08 |      5.7469e-09 | 7.6941e-07 |      1.6452e-07 |
| 931101B | 1993-11-01 23:13:38.2 |   0.028 |         0.009 |   0.138 |      0.048 |  2.844e-09 |      7.6204e-10 | 5.1433e-09 |      9.4617e-10 |   2.79e-08 |      2.9906e-09 | 1.3932e-07 |      7.1943e-08 |
| 931101A | 1993-11-01 03:10:20.6 |   0.296 |         0.057 |   1.629 |      0.066 | 4.2605e-08 |      2.6927e-09 | 5.6713e-08 |      3.3413e-09 | 3.3378e-07 |      1.0792e-08 | 2.4279e-06 |      1.7977e-07 |
| 931113B | 1993-11-13 17:42:27.3 |   1.443 |         0.093 |   1.122 |      0.066 | 6.8192e-08 |      1.2585e-08 | 1.3259e-07 |       1.442e-08 | 3.0307e-07 |      3.9971e-08 | 3.0409e-07 |      4.4547e-07 |
| 931113A | 1993-11-13 23:07:21.4 |   1.408 |         0.091 |   0.371 |      0.055 | 2.5133e-08 |      1.7933e-08 | 1.3358e-08 |      1.8167e-08 | 2.3347e-07 |      5.2578e-08 |        0.0 |       8.373e-07 |
|  931120 | 1993-11-20 18:49:22.6 |   0.256 |         0.091 |   0.353 |      0.052 | 9.0389e-09 |      1.7284e-09 | 1.9193e-08 |      1.8229e-09 | 5.7026e-08 |      4.8098e-09 | 9.2153e-08 |      9.7902e-08 |
| 931205B | 1993-12-05 14:59:51.5 |   0.256 |         0.091 |   3.281 |      0.076 | 5.3814e-08 |       2.532e-09 | 6.1251e-08 |      2.9562e-09 | 8.3296e-07 |      1.1829e-08 | 1.5104e-05 |      2.8584e-07 |
|  931211 | 1993-12-11 16:08:59.7 |     0.2 |         0.029 |   0.277 |      0.046 | 4.0243e-09 |      1.3783e-09 | 6.3689e-09 |      1.4914e-09 | 6.6678e-08 |      4.8676e-09 | 2.3385e-07 |      1.1361e-07 |
| 931215B | 1993-12-15 06:12:18.2 |   0.188 |         0.122 |   0.298 |      0.057 | 8.1775e-09 |      1.6626e-09 | 5.6075e-09 |      1.6874e-09 | 4.3321e-08 |      5.2762e-09 | 3.6363e-08 |      1.4114e-07 |
| 931221A |   1993-12-21 23:31:05 |   0.636 |         0.405 |   0.333 |      0.052 |        0.0 |      2.8522e-09 | 1.4666e-08 |      3.0358e-09 | 6.7284e-08 |      8.6526e-09 | 8.7487e-08 |      7.5095e-08 |
| 931229B | 1993-12-29 07:16:05.9 |   0.384 |         0.091 |   3.094 |       0.08 | 3.8853e-08 |       3.606e-09 |  5.612e-08 |      3.8454e-09 | 7.9728e-07 |       1.445e-08 | 1.3292e-05 |      2.9181e-07 |
|  940108 | 1994-01-08 06:34:57.2 |   0.384 |         0.091 |   0.304 |      0.052 | 5.6666e-09 |      2.7673e-09 | 1.4659e-08 |      2.9181e-09 |  5.322e-08 |      8.2131e-09 |        0.0 |      1.0787e-07 |
| 940112A | 1994-01-12 19:53:32.6 |   0.144 |         0.025 |   0.256 |      0.047 | 4.6443e-09 |      1.6678e-09 | 3.7958e-09 |      1.5252e-09 | 5.1602e-08 |      4.2339e-09 |        0.0 |       8.687e-08 |
| 940114B | 1994-01-14 05:37:54.1 |   0.064 |         0.091 |   0.158 |      0.051 | 2.6716e-08 |      1.5059e-08 | 1.6532e-08 |      1.5463e-08 | 9.9131e-10 |      3.9279e-08 | 2.8729e-06 |      3.0934e-06 |
|  940124 | 1994-01-24 13:58:00.9 |   1.953 |         1.312 |   0.264 |       0.05 |        0.0 |      2.3436e-08 | 2.8243e-08 |      2.2328e-08 | 1.8295e-07 |      5.8443e-08 |        0.0 |      5.4421e-07 |
| 940128A | 1994-01-28 05:45:33.2 |   0.872 |         0.049 |   0.949 |      0.056 | 1.4933e-08 |      2.5284e-09 | 3.1559e-08 |      2.9952e-09 | 2.0339e-07 |        9.04e-09 | 4.8941e-07 |      1.0753e-07 |
| 940201B | 1994-02-01 08:14:37.7 |   0.232 |         0.033 |   0.549 |      0.052 | 6.8294e-09 |      1.6903e-09 | 7.9952e-09 |      1.5658e-09 | 1.3207e-07 |      6.2667e-09 | 6.6078e-07 |        1.61e-07 |
| 940207B | 1994-02-07 10:00:52.6 |   0.448 |         0.231 |   0.333 |      0.053 | 4.9593e-09 |      3.0929e-09 | 1.2416e-08 |      2.9677e-09 | 6.8962e-08 |      8.3328e-09 | 3.5153e-07 |      1.3321e-07 |
| 940207A | 1994-02-07 11:31:36.7 |   0.256 |         0.091 |   0.143 |       0.05 |        0.0 |      1.3898e-09 | 7.2416e-09 |      1.5751e-09 | 2.0377e-08 |      4.5083e-09 | 9.1878e-09 |       1.079e-07 |
| 940211B | 1994-02-11 13:31:53.9 |   0.064 |         0.091 |   0.208 |      0.051 | 4.2588e-09 |      1.5652e-09 |   7.74e-09 |      1.6494e-09 | 4.0804e-08 |      4.8273e-09 |   1.48e-07 |      1.3047e-07 |
| 940214C | 1994-02-14 00:38:08.5 |   0.392 |         0.029 |   0.398 |      0.054 | 8.2062e-09 |       2.924e-09 | 1.9217e-08 |      3.1543e-09 | 6.7355e-08 |      7.8405e-09 |        0.0 |      5.8357e-08 |
| 940214B | 1994-02-14 09:14:19.5 |   0.176 |         0.082 |   0.131 |       0.05 | 3.2439e-09 |      1.7093e-09 | 7.1327e-09 |      1.5223e-09 |  1.922e-08 |      4.4945e-09 |        0.0 |      1.3504e-07 |
|  940216 | 1994-02-16 03:32:47.6 |   0.581 |          0.13 |   0.394 |       0.06 | 8.2149e-09 |      4.8697e-09 | 1.2898e-08 |      3.3998e-09 | 8.3514e-08 |      8.9796e-09 | 2.5416e-07 |      1.1473e-07 |
|  940219 | 1994-02-19 04:26:45.8 |    0.68 |         0.011 |   2.277 |      0.068 | 3.0344e-08 |      2.6093e-09 | 7.0845e-08 |      3.4246e-09 | 5.0818e-07 |       1.184e-08 | 2.3797e-06 |      1.5433e-07 |
|  940224 |   1994-02-24 16:14:54 |   0.064 |         0.011 |    0.26 |      0.062 | 5.6436e-09 |      2.2177e-09 | 1.1079e-08 |      2.0694e-09 | 4.8296e-08 |      5.4573e-09 |  6.378e-08 |      1.1565e-07 |
| 940226A | 1994-02-26 04:39:46.1 |   1.261 |         0.702 |    0.35 |      0.056 | 9.2198e-08 |      2.1505e-08 | 1.7088e-08 |      1.8265e-08 | 1.6001e-07 |      4.7647e-08 |        0.0 |      5.9856e-07 |
| 940305C | 1994-03-05 09:01:28.3 |   1.463 |         0.068 |   1.052 |       0.06 | 2.6458e-08 |      2.1542e-08 | 9.7083e-08 |      1.9831e-08 |  5.605e-07 |      4.7297e-08 | 6.1521e-07 |      4.3483e-07 |
| 940305B | 1994-03-05 11:43:43.3 |   1.599 |         0.072 |   0.807 |      0.066 | 7.4354e-08 |       1.447e-08 | 1.0867e-07 |       1.708e-08 | 2.8953e-07 |       5.224e-08 | 1.2957e-06 |      9.4189e-07 |
|  940310 | 1994-03-10 22:00:57.3 |   0.084 |         0.516 |   0.148 |      0.045 | 3.5508e-10 |      1.6811e-09 | 7.1644e-09 |      1.4185e-09 | 3.2766e-08 |      4.4197e-09 | 2.1607e-09 |      8.2588e-08 |
| 940312A | 1994-03-12 18:24:26.2 |   0.176 |         0.169 |   0.227 |      0.045 |        0.0 |      3.3224e-09 | 1.1578e-08 |      2.6611e-09 |  3.983e-08 |      6.9948e-09 | 1.4298e-10 |      3.8336e-08 |
|  940326 | 1994-03-26 07:25:30.8 |   0.288 |         0.064 |   0.474 |      0.055 | 9.8321e-09 |      1.6885e-09 | 2.0948e-08 |      1.9896e-09 | 7.1698e-08 |      5.3262e-09 |        0.0 |      8.9658e-08 |
| 940329A | 1994-03-29 11:50:35.7 |   0.456 |         0.033 |    2.46 |      0.073 | 1.1284e-07 |      3.6746e-09 | 1.6214e-07 |      4.2443e-09 | 2.8946e-07 |       9.975e-09 | 2.1258e-07 |      9.3249e-08 |
|  940404 | 1994-04-04 15:21:54.1 |    0.32 |         0.326 |    0.38 |      0.057 | 3.5154e-09 |      2.0308e-09 | 3.6687e-09 |       1.706e-09 | 7.9768e-08 |      5.9531e-09 | 8.9296e-07 |      1.5195e-07 |
| 940410A | 1994-04-10 14:41:46.6 |   0.448 |         0.091 |    0.68 |      0.062 | 7.1134e-09 |      3.3091e-09 | 2.2578e-08 |      3.5195e-09 | 1.4978e-07 |      9.8997e-09 | 4.3219e-07 |      1.0459e-07 |
| 940415A | 1994-04-15 17:01:13.4 |    0.32 |         0.091 |   1.779 |      0.062 | 3.9792e-08 |      1.7758e-08 | 9.2991e-08 |      1.6199e-08 | 6.4971e-07 |      3.7612e-08 |  2.951e-06 |      4.6701e-07 |
|  940428 | 1994-04-28 10:36:32.1 |    0.68 |         0.018 |   1.463 |      0.062 | 2.4231e-08 |      3.1624e-09 | 4.1328e-08 |      3.3597e-09 | 3.3258e-07 |      1.0044e-08 | 2.0549e-06 |      1.3883e-07 |
|  940506 | 1994-05-06 20:25:51.8 |     0.2 |         0.058 |   0.277 |      0.051 | 1.7988e-09 |      1.3741e-09 | 1.1431e-08 |       1.659e-09 | 4.6136e-08 |      4.9629e-09 |        0.0 |      1.1022e-07 |
|  940507 |   1994-05-07 19:31:56 |   0.312 |         0.011 |   0.247 |      0.052 | 8.7086e-09 |      1.5604e-09 | 1.3083e-08 |      1.7077e-09 | 2.6747e-08 |      4.6389e-09 |  1.371e-07 |      1.3228e-07 |
| 940512B | 1994-05-12 16:49:44.7 |   0.637 |         0.075 |   0.522 |      0.065 | 9.5654e-09 |      3.5942e-09 | 2.6619e-08 |      3.7976e-09 | 8.7472e-08 |      9.7071e-09 |  1.029e-07 |      9.8333e-08 |
| 940512A | 1994-05-12 21:52:10.6 |    0.24 |         0.088 |   0.273 |      0.051 | 4.6372e-09 |       1.575e-09 | 9.2942e-09 |       1.659e-09 | 5.5704e-08 |      4.9627e-09 | 5.0062e-07 |      1.1878e-07 |
| 940515B | 1994-05-15 02:02:10.9 |   0.576 |         0.091 |   0.637 |      0.053 | 1.7737e-08 |      3.5766e-09 | 2.3925e-08 |      3.1144e-09 | 1.2486e-07 |      7.5039e-09 |  3.569e-07 |       8.582e-08 |
| 940515A | 1994-05-15 17:22:43.2 |    0.36 |         0.088 |    1.14 |      0.065 | 3.0222e-08 |      2.7253e-09 | 5.0832e-08 |      3.4729e-09 | 2.0232e-07 |      1.0141e-08 | 2.1071e-07 |      9.5705e-08 |
| 940521B |   1994-05-21 22:02:24 |    0.64 |         0.286 |   0.221 |      0.047 |        0.0 |      1.5614e-08 | 2.6169e-08 |      1.6281e-08 | 6.3579e-08 |      4.5236e-08 | 3.2336e-07 |      6.1126e-07 |
| 940527A | 1994-05-27 13:01:24.1 |   0.704 |         0.136 |   0.625 |      0.057 | 7.5088e-09 |      3.2121e-09 | 2.4296e-08 |      3.2759e-09 | 1.2808e-07 |      9.0787e-09 | 3.6694e-07 |      1.0713e-07 |
|  940613 | 1994-06-13 20:38:42.2 |    0.12 |          0.02 |   0.269 |      0.054 | 2.5322e-09 |      1.4995e-09 | 5.6096e-09 |      1.6747e-09 | 7.0407e-08 |      5.7569e-09 | 8.2638e-07 |      1.6468e-07 |
| 940621C | 1994-06-21 12:11:15.7 |   0.048 |         0.013 |   0.207 |      0.056 | 1.9447e-09 |      1.0246e-09 | 6.1071e-09 |      1.0251e-09 | 2.9368e-08 |      3.3589e-09 |  8.953e-08 |      8.4472e-08 |
| 940621B | 1994-06-21 15:03:37.9 |   0.464 |         0.011 |   0.604 |       0.06 | 4.2265e-09 |      3.0265e-09 | 1.7514e-08 |      3.3115e-09 | 1.4342e-07 |      1.0192e-08 | 6.3006e-07 |      1.3282e-07 |
| 940623B | 1994-06-23 23:48:05.7 |   0.104 |         0.018 |   0.148 |      0.055 | 9.2672e-09 |      1.6088e-09 | 7.3026e-09 |      1.6821e-09 | 2.0493e-08 |      4.7137e-09 |        0.0 |      1.3713e-07 |
|  940628 | 1994-06-28 05:05:40.1 |   0.136 |         0.017 |   0.156 |      0.054 |        0.0 |      1.3668e-09 | 1.8527e-09 |      1.5594e-09 | 2.4958e-08 |      5.1431e-09 | 3.6484e-07 |      1.5729e-07 |
| 940708B | 1994-07-08 20:09:38.1 |   0.176 |         0.018 |   0.334 |       0.05 | 9.2319e-10 |       2.025e-09 | 1.2579e-08 |      1.7266e-09 | 6.8299e-08 |      5.0705e-09 | 2.4145e-07 |      9.3683e-08 |
|  940712 | 1994-07-12 00:55:39.8 |   0.056 |         0.006 |    0.22 |      0.058 | 2.0761e-09 |      1.1011e-09 | 5.8258e-09 |       1.079e-09 |  2.131e-08 |      2.8771e-09 |  6.846e-08 |      6.9298e-08 |
| 940714A | 1994-07-14 21:18:20.3 |   0.224 |         0.033 |   0.441 |      0.069 |  1.001e-08 |      1.8819e-09 | 8.4309e-09 |      2.1446e-09 | 1.0784e-07 |      7.0581e-09 | 1.5417e-06 |      1.9117e-07 |
| 940717A | 1994-07-17 03:24:29.7 |   1.152 |         0.091 |   5.824 |      0.093 | 3.8944e-07 |      2.1197e-08 | 5.0892e-07 |      2.0083e-08 | 1.6037e-06 |       5.351e-08 | 4.8984e-06 |      7.3211e-07 |
|  940724 |   1994-07-24 23:16:30 |   0.432 |         0.087 |   0.582 |      0.063 | 6.9805e-09 |      3.3496e-09 | 1.2077e-08 |      3.4156e-09 | 1.4517e-07 |      1.0327e-08 | 8.9737e-07 |      1.8516e-07 |
|  940808 | 1994-08-08 14:49:22.5 |   0.976 |         0.023 |   2.349 |      0.073 | 3.0128e-08 |      3.2058e-09 | 8.0404e-08 |      3.8306e-09 | 5.0932e-07 |      1.2427e-08 | 3.4809e-06 |      1.8195e-07 |
|  940809 | 1994-08-09 07:29:20.8 |   0.896 |         0.264 |   0.445 |      0.049 | 5.5208e-09 |      3.1995e-09 | 1.7434e-08 |      2.7969e-09 | 8.9414e-08 |      7.7171e-09 |        0.0 |      6.9196e-08 |
|  940811 | 1994-08-11 09:28:59.7 |   0.232 |         0.043 |   0.332 |      0.049 | 4.1656e-09 |       1.768e-09 |  9.142e-09 |      1.5763e-09 | 7.0518e-08 |      5.1881e-09 | 1.8628e-07 |      1.1503e-07 |
| 940812A | 1994-08-12 15:10:22.4 |   0.792 |         0.064 |   0.601 |      0.061 | 1.1543e-08 |      3.4963e-09 | 1.6252e-08 |      3.3019e-09 |   1.37e-07 |      9.6976e-09 | 7.2729e-07 |       1.641e-07 |
|  940825 | 1994-08-25 01:10:48.3 |   0.064 |         0.011 |   0.203 |      0.051 |        0.0 |      1.5388e-09 | 4.8619e-09 |      1.6701e-09 |  2.775e-08 |      4.7207e-09 |  2.694e-07 |      1.0482e-07 |
|  940831 |   1994-08-31 13:05:16 |   1.963 |         0.763 |   0.556 |      0.063 | 4.8315e-08 |      2.2421e-08 | 1.4031e-07 |      2.5318e-08 | 3.9558e-07 |      7.2375e-08 | 1.8799e-06 |      1.0857e-06 |
| 940902A | 1994-09-02 14:29:52.2 |   1.793 |         0.066 |   4.095 |      0.087 | 2.0609e-07 |      1.7918e-08 | 3.1567e-07 |      1.9656e-08 | 1.9064e-06 |      5.4095e-08 | 9.8448e-06 |      8.1837e-07 |
|  940918 | 1994-09-18 14:51:14.8 |   0.208 |         0.025 |    1.67 |      0.067 | 3.2156e-08 |      2.0624e-09 | 6.3283e-08 |      2.7071e-09 | 3.3855e-07 |      8.9633e-09 |   2.51e-06 |       1.897e-07 |
| 941003A | 1994-10-03 17:01:32.7 |    0.64 |         0.091 |   1.722 |      0.053 | 3.9885e-08 |      4.2755e-09 | 6.1356e-08 |      4.1462e-09 | 3.5103e-07 |       1.145e-08 | 9.2574e-07 |      1.0396e-07 |
