|         name |            T-time [hrs] | T90 [s] | T90_error [s] |         flux |   flux_error |      fluence | fluence_error |
| GRB100204858 | 2010-02-04 20:36:03.767 |    1.92 |         2.375 | 1.147041e-06 |  4.48629e-07 | 7.315135e-08 |  2.861084e-08 |
| GRB091224373 | 2009-12-24 08:57:36.557 |   0.768 |         0.231 | 1.618069e-06 | 2.834345e-07 |  1.03015e-07 |  1.804497e-08 |
| GRB091122163 | 2009-11-22 03:54:20.375 |   1.984 |         1.925 | 6.950443e-07 |          0.0 | 4.430183e-08 |           0.0 |
| GRB091006360 | 2009-10-06 08:38:46.928 |   0.192 |         0.091 | 7.545648e-07 | 2.569863e-07 | 4.807716e-08 |   1.63739e-08 |
| GRB090909854 | 2009-09-09 20:29:52.740 |   1.152 |         2.244 | 1.461776e-06 | 2.724213e-07 | 9.304094e-08 |  1.733941e-08 |
| GRB090626707 | 2009-06-26 16:58:45.464 |     0.0 |           0.0 | 3.938793e-07 | 4.628924e-08 | 4.018344e-07 |  4.722413e-08 |
| GRB090620901 | 2009-06-20 21:37:35.751 |    0.96 |         0.272 | 6.078769e-07 |          0.0 | 3.871917e-08 |           0.0 |
| GRB090616157 | 2009-06-16 03:45:42.532 |   1.152 |         1.168 |  5.14892e-07 |          0.0 | 3.278585e-08 |           0.0 |
| GRB090418816 | 2009-04-18 19:35:24.918 |    0.32 |         0.405 | 2.083978e-07 |          0.0 | 2.125625e-07 |           0.0 |
| GRB090405663 | 2009-04-05 15:54:41.341 |   0.448 |         1.498 | 2.534528e-06 |  4.06544e-07 |  1.61109e-07 |  2.584225e-08 |
| GRB080815917 | 2008-08-15 22:00:05.085 |   0.832 |          0.32 | 1.229326e-06 | 2.746905e-07 | 7.829189e-08 |  1.749417e-08 |
| GRB080723913 | 2008-07-23 21:55:23.058 |   0.192 |         0.345 | 1.183467e-06 | 2.135367e-07 | 7.542046e-08 |  1.360836e-08 |
