|         name |            T-time [hrs] | T90 [s] | T90_error [s] |         flux |   flux_error |      fluence | fluence_error |
| GRB150604434 |                  10.412 |   0.896 |         0.143 | 3.486326e-06 | 4.096975e-07 |   1.2386e-08 |    1.2386e-08 |
| GRB150522944 |                  22.646 |   1.024 |          0.58 | 1.079156e-06 | 2.551597e-07 |   1.1225e-08 |    1.1225e-08 |
| GRB150506972 |                  23.321 |   0.384 |         0.181 | 1.369746e-06 | 3.882573e-07 |   1.0278e-08 |    1.0278e-08 |
| GRB150506630 |                  15.118 |   0.512 |         0.326 | 5.347832e-06 | 4.840916e-07 |   1.4974e-08 |    1.4974e-08 |
| GRB150412931 |                  22.343 |    0.64 |         0.861 | 2.209869e-06 | 4.208557e-07 |   2.9661e-08 |    2.9661e-08 |
| GRB150214293 |                   7.023 |   0.192 |         0.286 | 1.703041e-06 |   3.9597e-07 |   1.4042e-08 |    1.4042e-08 |
| GRB150118927 |                  22.242 |   0.288 |         0.097 |  8.60296e-06 | 4.984913e-07 |   1.0975e-08 |    1.0975e-08 |
| GRB150101641 |                  15.393 |    0.08 |         0.928 | 3.908609e-07 | 7.817467e-08 |   1.5091e-08 |    1.5091e-08 |
| GRB141230871 |                  20.902 |   0.224 |          0.16 | 1.439315e-06 | 2.118201e-07 |   1.5729e-08 |    1.5729e-08 |
| GRB141213300 |                   7.204 |   0.768 |         0.513 | 2.082844e-06 | 4.184161e-07 |   1.9727e-08 |    1.9727e-08 |
| GRB141202470 |                  11.285 |   1.344 |         0.143 | 5.702063e-06 | 6.412097e-07 |   2.0957e-08 |    2.0957e-08 |
| GRB141113346 |                   8.295 |   0.448 |           0.5 |    1.264e-06 | 2.571082e-07 |   1.9229e-08 |    1.9229e-08 |
| GRB141105406 |                   9.746 |    1.28 |         1.032 |   2.9404e-06 | 3.872141e-07 |   2.6964e-08 |    2.6964e-08 |
| GRB141011282 |                   6.772 |    0.08 |         0.036 |  8.99964e-06 | 6.457599e-07 |   1.0545e-08 |    1.0545e-08 |
| GRB140901821 |                  19.694 |   0.176 |         0.036 | 2.121765e-05 | 8.404318e-07 |   3.1497e-08 |    3.1497e-08 |
| GRB140807500 |                  11.993 |   0.512 |         0.202 | 6.657246e-06 | 5.223064e-07 |   1.4394e-08 |    1.4394e-08 |
| GRB140710537 |                  12.885 |   0.384 |         0.091 |  2.34464e-06 | 4.125642e-07 |   7.1392e-09 |    7.1392e-09 |
| GRB140626843 |                  20.237 |   1.792 |         1.056 | 1.466539e-06 | 4.568117e-07 |   3.7771e-08 |    3.7771e-08 |
| GRB140605377 |                   9.047 |   0.512 |          0.32 | 5.571014e-06 | 5.265433e-07 |   8.5088e-09 |    8.5088e-09 |
| GRB140511095 |                   2.287 |   1.408 |         0.889 | 2.301701e-06 | 4.373117e-07 |   3.2128e-08 |    3.2128e-08 |
| GRB140428906 |                  21.744 |    0.32 |         0.286 | 6.416858e-06 | 8.632776e-07 |   2.0065e-08 |    2.0065e-08 |
| GRB140402007 |                   0.169 |    0.32 |          0.63 | 3.433408e-06 | 5.066209e-07 |   2.9008e-08 |    2.9008e-08 |
| GRB140105748 |                  17.942 |   0.576 |         0.716 | 1.093273e-06 | 3.626926e-07 |   2.1942e-08 |    2.1942e-08 |
| GRB140105065 |                    1.55 |   1.088 |         0.466 | 2.181659e-06 | 4.360197e-07 |   1.3796e-08 |    1.3796e-08 |
| GRB131217108 |                   2.603 |   0.768 |         1.924 | 3.572344e-06 | 4.286903e-07 |   3.8613e-08 |    3.8613e-08 |
| GRB131126163 |                   3.903 |   0.128 |         0.353 | 1.482051e-05 | 1.001126e-06 |   2.8336e-08 |    2.8336e-08 |
| GRB130919173 |                   4.161 |    0.96 |         0.143 | 2.138149e-06 | 2.670433e-07 |    1.107e-08 |     1.107e-08 |
| GRB130912358 |                   8.583 |   0.512 |         0.143 | 4.918628e-06 | 4.472189e-07 |    1.774e-08 |     1.774e-08 |
| GRB130804023 |                   0.554 |    0.96 |         0.091 | 1.639179e-05 | 7.478199e-07 |   1.5865e-08 |    1.5865e-08 |
| GRB130701761 |                  18.259 |     1.6 |         0.143 | 7.673169e-06 | 5.457261e-07 |   2.6378e-08 |    2.6378e-08 |
| GRB130628860 |                  20.634 |   0.512 |         0.143 | 1.106645e-05 | 6.530241e-07 |   9.7853e-09 |    9.7853e-09 |
| GRB130622615 |                  14.765 |    0.96 |         0.429 | 1.619812e-06 | 4.344914e-07 |   2.7958e-08 |    2.7958e-08 |
| GRB130515056 |                   1.355 |   0.256 |         0.091 | 8.041626e-06 | 7.044444e-07 |   1.5774e-08 |    1.5774e-08 |
| GRB130504314 |                   7.534 |   0.384 |         0.181 |  1.99903e-05 | 9.690738e-07 |   3.3903e-08 |    3.3903e-08 |
| GRB130416770 |                  18.481 |   0.192 |         0.425 | 1.151411e-05 | 7.109352e-07 |   1.7924e-08 |    1.7924e-08 |
| GRB130307126 |                   3.029 |   0.384 |         0.091 | 6.604756e-06 | 5.202161e-07 |   6.8138e-09 |    6.8138e-09 |
| GRB121127914 |                  21.933 |    0.64 |         0.405 | 9.873498e-06 | 7.257144e-07 |   4.9847e-08 |    4.9847e-08 |
| GRB121112806 |                  19.346 |    1.28 |         1.358 |  3.04589e-06 | 4.888477e-07 |   3.2195e-08 |    3.2195e-08 |
| GRB121012724 |                  17.371 |   0.448 |         0.091 | 4.677267e-06 | 5.939525e-07 |   1.0012e-08 |    1.0012e-08 |
| GRB121004211 |                   5.055 |   1.536 |         0.572 | 4.505255e-07 | 5.758715e-07 |   1.0625e-08 |    1.0625e-08 |
| GRB120830297 |                   7.118 |   0.896 |         0.231 | 5.989711e-06 | 5.638203e-07 |   2.7188e-08 |    2.7188e-08 |
| GRB120817168 |                   4.042 |    0.16 |         0.113 | 1.742031e-05 | 7.947433e-07 |   1.0167e-08 |    1.0167e-08 |
| GRB120811014 |                   0.342 |   0.448 |         0.091 | 1.283403e-05 | 8.695733e-07 |   1.9404e-08 |    1.9404e-08 |
| GRB120629565 |                   13.57 |   0.704 |         1.026 | 7.875425e-07 | 2.742281e-07 |   1.2052e-08 |    1.2052e-08 |
| GRB120624309 |                   7.407 |    0.64 |          0.16 | 3.474427e-05 | 1.148759e-06 |   7.6071e-08 |    7.6071e-08 |
| GRB120619884 |                  21.221 |    0.96 |          0.96 | 2.339898e-06 | 3.511413e-07 |   3.0169e-08 |    3.0169e-08 |
| GRB120612687 |                  16.496 |   0.256 |         0.453 | 4.032275e-06 | 6.125875e-07 |    2.219e-08 |     2.219e-08 |
| GRB120608489 |                  11.731 |    0.96 |         1.611 | 2.356578e-06 | 3.977119e-07 |   2.1445e-08 |    2.1445e-08 |
| GRB120603439 |                  10.536 |   0.384 |         0.345 | 8.093827e-07 | 7.692962e-08 |     2.69e-08 |      2.69e-08 |
| GRB120524134 |                   3.215 |   0.704 |         0.466 | 1.357791e-06 | 9.069229e-07 |   1.5086e-08 |    1.5086e-08 |
| GRB120519721 |                  17.304 |   1.056 |         0.451 | 3.983435e-06 | 5.612374e-07 |   1.6695e-08 |    1.6695e-08 |
| GRB120222021 |                   0.493 |   1.088 |         0.143 |  3.06012e-06 | 5.965156e-07 |   2.3582e-08 |    2.3582e-08 |
| GRB120101354 |                   8.502 |   0.128 |         0.072 | 1.348919e-06 | 5.107747e-07 |   1.3869e-08 |    1.3869e-08 |
| GRB111222619 |                  14.865 |   0.288 |         0.036 | 2.124238e-05 | 1.017245e-06 |   1.9059e-08 |    1.9059e-08 |
| GRB111207512 |                  12.288 |   0.768 |         1.145 | 7.444531e-07 | 3.554676e-07 |   2.6569e-08 |    2.6569e-08 |
| GRB111117510 |                  12.228 |   0.432 |         0.082 |  3.50192e-06 | 4.014977e-07 |   1.2828e-08 |    1.2828e-08 |
| GRB111112908 |                  21.797 |   0.224 |         0.097 | 7.048943e-06 | 5.312991e-07 |   9.7279e-09 |    9.7279e-09 |
| GRB111103948 |                  22.752 |    0.32 |         0.181 | 2.672967e-06 | 3.612379e-07 |   5.3224e-08 |    5.3224e-08 |
| GRB111024896 |                  21.501 |   1.792 |         1.846 | 1.914908e-06 |  3.75448e-07 |   1.5193e-08 |    1.5193e-08 |
| GRB111022854 |                   20.49 |   0.192 |         0.707 | 1.874342e-06 | 4.585001e-07 |   1.2141e-08 |    1.2141e-08 |
| GRB111011094 |                   2.253 |   1.472 |         0.771 | 3.616395e-06 | 4.287716e-07 |   1.9841e-08 |    1.9841e-08 |
| GRB111001804 |                    19.3 |   0.384 |         1.361 | 1.275586e-06 | 2.753281e-07 |   1.2396e-08 |    1.2396e-08 |
| GRB110916016 |                   0.384 |   1.792 |         1.993 | 7.735266e-07 | 3.408496e-07 |   6.4902e-08 |    6.4902e-08 |
| GRB110801335 |                   8.029 |   0.384 |         0.326 | 2.038671e-06 | 3.698857e-07 |   5.3966e-08 |    5.3966e-08 |
| GRB110728056 |                    1.34 |   0.704 |         0.231 | 2.190402e-06 | 3.767676e-07 |   6.2992e-08 |    6.2992e-08 |
