| Swift name | Swift ID | BAT Trigger-time | BAT RA | BAT Dec | BAT Error-radius | BAT T90 | redshift | BAT Phoflux | BAT Phoflux_error | BAT fluence | BAT fluence_error |
|    141220A |   141220 |            6.048 | 13.004 |  32.146 |              0.9 |    7.21 |    1.319 |         8.9 |               0.5 |        26.0 |               0.8 |
|    141212A |   141212 |           12.234 |  2.611 |  18.163 |              1.4 |     0.3 |    0.596 |         1.2 |               0.2 |        0.72 |               0.1 |
|    141121A |   141121 |            3.845 |  8.178 |  22.206 |              1.6 |   549.9 |     1.47 |         0.9 |               0.2 |        53.0 |               3.0 |
|    141109A |   141109 |            5.832 |  9.638 |  -0.581 |              2.3 |   200.0 |    2.993 |         2.5 |               0.2 |        68.0 |               2.3 |
|    141026A |   141026 |            2.614 |  2.937 |  26.925 |              1.4 |   146.0 |     3.35 |         0.4 |               0.2 |        13.0 |               0.8 |
|    141004A |   141004 |           23.348 |  5.115 |  12.828 |              0.8 |    3.92 |     0.57 |         6.1 |               0.2 |         6.7 |               0.2 |
|    140907A |   140907 |           16.119 |  3.209 |  46.596 |              1.1 |    79.2 |     1.21 |         2.5 |               0.2 |        43.0 |               1.5 |
|    140903A |   140903 |           15.008 | 15.868 |  27.608 |              0.8 |     0.3 |    0.351 |         2.5 |               0.2 |         1.4 |               0.1 |
|    140710A |   140710 |           10.278 |  2.739 |  35.499 |              1.4 |    3.52 |    0.558 |         1.9 |               0.2 |         2.3 |               0.2 |
|    140703A |   140703 |            0.621 |  0.867 |  45.102 |              1.2 |    67.1 |     3.14 |         2.8 |               0.5 |        39.0 |               2.3 |
|    140629A |   140629 |           14.292 | 16.601 |  41.897 |              1.4 |    42.0 |    2.275 |         4.2 |               0.3 |        24.0 |               1.5 |
|    140622A |   140622 |            9.601 | 21.144 | -14.412 |              1.9 |    0.13 |    0.959 |         0.6 |               0.2 |        0.27 |               0.0 |
|    140518A |   140518 |            9.296 | 15.149 |  42.396 |              1.4 |    60.5 |    4.707 |         1.0 |               0.1 |        10.0 |               0.8 |
|    140515A |   140515 |             9.21 | 12.405 |  15.099 |              0.9 |    23.4 |     6.32 |         0.9 |               0.1 |         5.9 |               0.5 |
|    140512A |   140512 |            19.53 | 19.291 | -15.087 |              0.8 |   154.8 |    0.725 |         6.8 |               0.2 |       140.0 |               2.3 |
|    140506A |   140506 |           21.127 | 18.454 | -55.556 |              1.2 |   111.1 |    0.889 |        10.9 |               0.7 |        28.0 |               2.3 |
|    140430A |   140430 |            20.56 |  6.863 |  23.033 |              0.8 |   173.6 |      1.6 |         2.5 |               0.2 |        11.0 |               1.5 |
|    140428A |   140428 |           22.681 | 12.958 |  28.331 |              1.7 |   17.42 |      4.7 |         0.6 |               0.2 |         3.4 |               0.5 |
|    140423A |   140423 |            8.531 | 13.152 |  49.838 |              0.8 |   134.0 |     3.26 |         2.1 |               0.2 |        94.0 |               2.3 |
|    140419A |   140419 |            4.114 |  8.467 |  46.234 |              0.8 |    94.7 |    3.956 |         4.9 |               0.2 |       160.0 |               0.0 |
|    140318A |   140318 |            0.152 |  12.27 |  20.225 |              1.6 |    8.43 |     1.02 |         0.5 |               0.2 |         2.9 |               0.4 |
|    140311A |   140311 |           21.088 | 13.953 |   0.607 |              2.9 |    71.4 |     4.95 |         1.3 |               0.4 |        23.0 |               2.3 |
|    140304A |   140304 |           13.375 |  2.044 |   33.48 |              0.8 |    15.6 |    5.283 |         1.7 |               0.2 |        12.0 |               0.8 |
|    140301A |   140301 |           15.414 |  4.635 | -34.249 |              1.4 |    31.0 |    1.416 |         0.7 |               0.2 |         4.4 |               0.6 |
|    140213A |   140213 |            19.36 |  7.011 | -73.136 |              0.8 |    60.0 |    1.207 |        23.5 |               0.6 |       120.0 |               0.0 |
|    140206A |   140206 |            7.289 |  9.688 |  66.762 |              0.8 |    93.6 |     2.73 |        19.4 |               0.4 |       160.0 |               2.3 |
|    140114A |   140114 |           11.961 | 12.567 |  27.942 |              1.4 |   139.7 |      3.0 |         0.9 |               0.1 |        32.0 |               0.8 |
|    131227A |   131227 |            4.748 |  4.491 |  28.879 |              1.0 |    18.0 |      5.3 |         1.1 |               0.2 |         8.4 |               0.5 |
|    131117A |   131117 |            0.568 | 22.157 | -31.761 |              1.4 |    11.0 |     4.18 |         0.7 |               0.1 |         2.5 |               0.3 |
|    131105A |   131105 |            2.079 |  4.732 | -63.005 |              1.1 |   112.3 |    1.686 |         3.5 |               0.5 |        71.0 |               3.8 |
|    131103A |   131103 |           22.124 | 23.263 | -44.645 |              1.4 |    17.3 |    0.599 |         1.5 |               0.2 |         8.2 |               0.8 |
|    131030A |   131030 |           20.938 | 23.005 |   -5.38 |              0.8 |    41.1 |    1.293 |        28.1 |               0.5 |       290.0 |               0.0 |
|    131004A |   131004 |           21.684 | 19.741 |  -2.952 |              0.8 |    1.54 |    0.717 |         3.4 |               0.2 |         2.8 |               0.2 |
|    130831A |   130831 |           13.071 | 23.909 |  29.431 |              0.8 |    32.5 |    0.479 |        13.6 |               0.5 |        65.0 |               0.2 |
|    130701A |   130701 |            4.295 | 23.815 |    36.1 |              0.8 |    4.38 |    1.155 |        17.1 |               0.5 |        44.0 |               0.8 |
|    130612A |   130612 |            3.373 | 17.318 |  16.729 |              1.5 |     4.0 |    2.006 |         1.7 |               0.2 |         2.3 |               0.4 |
|    130610A |   130610 |            3.204 | 14.961 |  28.187 |              1.8 |    46.4 |    2.092 |         1.7 |               0.2 |        25.0 |               0.8 |
|    130606A |   130606 |           21.078 | 16.626 |  29.796 |              1.5 |  276.58 |     5.91 |         2.6 |               0.2 |        29.0 |               1.5 |
|    130604A |   130604 |            6.907 | 16.678 |  68.225 |              0.8 |    37.7 |     1.06 |         0.8 |               0.2 |        14.0 |               0.8 |
|    130603B |   130603 |           15.821 | 11.481 |  17.063 |              0.8 |    0.18 |    0.356 |         6.4 |               0.2 |         6.3 |               0.2 |
|    130514A |   130514 |            7.228 | 19.752 |  -7.974 |              0.8 |   204.0 |      3.6 |         2.8 |               0.2 |        91.0 |               1.5 |
|    130511A |   130511 |           11.513 |  13.11 |  18.709 |              1.7 |    5.43 |    1.303 |         1.3 |               0.2 |         2.2 |               0.3 |
|    130505A |   130505 |            8.374 |  9.137 |  17.485 |              1.1 |    88.0 |     2.27 |        30.0 |               2.3 |       210.0 |               7.6 |
|    130427B |   130427 |           13.345 | 20.993 | -22.548 |              1.1 |    27.0 |     2.78 |         3.0 |               0.3 |        15.0 |               0.8 |
|    130427A |   130427 |            7.799 | 11.543 |  27.706 |              0.8 |  162.83 |     0.34 |       331.0 |               3.5 |      3100.0 |              22.7 |
|    130420A |   130420 |            7.475 | 13.075 |  59.421 |              0.8 |   123.5 |    1.297 |         3.4 |               0.2 |        71.0 |               2.3 |
|    130408A |   130408 |           21.861 |   8.96 | -32.363 |              1.7 |    28.0 |    3.758 |         4.9 |               0.8 |        23.0 |               3.0 |
|    130215A |   130215 |            1.525 |  2.899 |  13.387 |              1.1 |    65.7 |    0.597 |         2.5 |               0.5 |        54.0 |               3.8 |
|    130131B |   130131 |           19.169 | 11.597 |  15.033 |              1.3 |     4.3 |    2.539 |         1.0 |               0.2 |         3.4 |               0.3 |
|    121211A |   121211 |           13.784 | 13.038 |  30.173 |              3.7 |   182.0 |    1.023 |         1.0 |               0.2 |        13.0 |               2.0 |
|    121201A |   121201 |           12.428 |  0.898 | -42.929 |              1.7 |    85.0 |    3.385 |         0.8 |               0.1 |         7.8 |               0.8 |
|    121128A |   121128 |            5.094 | 20.039 |  54.301 |              0.8 |    23.3 |      2.2 |        12.9 |               0.3 |        69.0 |               3.0 |
|    121027A |   121027 |            7.541 |   4.24 | -58.839 |              0.8 |    62.6 |    1.773 |         1.3 |               0.2 |        20.0 |               0.8 |
|    121024A |   121024 |            2.937 |  4.699 | -12.255 |              1.3 |    69.0 |    2.298 |         1.3 |               0.2 |        11.0 |               0.8 |
|    120922A |   120922 |           22.508 | 15.651 | -20.181 |              0.9 |   173.0 |      3.1 |         2.0 |               0.2 |        62.0 |               5.3 |
|    120907A |   120907 |            0.406 |  4.982 |  -9.323 |              1.5 |    16.9 |     0.97 |         2.9 |               0.3 |         6.7 |               0.8 |
|    120815A |   120815 |            2.233 | 18.265 | -52.125 |              1.4 |     9.7 |    2.358 |         2.2 |               0.2 |         4.9 |               0.5 |
|    120811C |   120811 |           15.581 | 13.313 |  62.297 |              0.8 |    26.8 |    2.671 |         4.1 |               0.2 |        30.0 |               2.3 |
|    120805A |   120805 |           21.469 | 14.436 |   5.853 |              1.7 |    48.0 |      3.1 |        0.37 |               0.2 |         8.2 |               1.1 |
|    120802A |   120802 |            8.014 |  2.989 |  13.762 |              0.8 |    50.0 |    3.796 |         3.0 |               0.2 |        19.0 |               2.3 |
|    120729A |   120729 |           10.937 |  0.872 |  49.936 |              0.8 |    71.5 |      0.8 |         2.9 |               0.2 |        24.0 |               0.8 |
|    120724A |   120724 |            6.651 | 16.346 |   3.535 |              1.6 |    72.8 |     1.48 |         0.6 |               0.2 |         6.8 |               0.8 |
|    120722A |   120722 |           12.891 | 15.366 |  13.249 |              2.6 |    42.4 |    0.958 |         1.0 |               0.2 |        12.0 |               1.5 |
|    120714B |   120714 |           21.313 | 23.694 | -46.196 |              2.0 |   159.0 |    0.398 |         0.4 |               0.1 |        12.0 |               0.8 |
|    120712A |   120712 |           13.708 | 11.307 | -20.051 |              0.8 |    14.7 |      4.0 |         2.4 |               0.2 |        18.0 |               0.8 |
|    120521C |   120521 |           23.369 | 14.286 |  42.144 |              0.8 |    26.7 |      6.0 |         1.9 |               0.2 |        11.0 |               0.8 |
|    120422A |   120422 |            7.201 |  9.128 |  13.974 |              1.5 |    5.35 |     0.28 |         0.6 |               0.2 |         2.3 |               0.3 |
|    120404A |   120404 |           12.851 | 15.667 |  12.883 |              0.9 |    38.7 |    2.876 |         1.2 |               0.2 |        16.0 |               0.8 |
|    120327A |   120327 |            2.921 | 16.457 | -29.415 |              0.8 |    62.9 |     2.81 |         3.9 |               0.2 |        36.0 |               0.8 |
|    120326A |   120326 |            1.341 |  18.26 |  69.248 |              0.8 |    69.6 |    1.798 |         4.6 |               0.2 |        26.0 |               2.3 |
|    120119A |   120119 |            4.075 |  8.002 |  -9.076 |              0.8 |   253.8 |    1.728 |        10.3 |               0.2 |       170.0 |               0.0 |
|    120118B |   120118 |           17.006 |  8.324 |  -7.178 |              1.0 |   23.26 |    2.943 |         2.2 |               0.2 |        18.0 |               0.8 |
|    111229A |   111229 |           22.631 |  5.104 | -84.687 |              2.0 |    25.4 |     1.38 |         1.0 |               0.2 |         3.4 |               0.5 |
|    111228A |   111228 |           15.745 | 10.004 |  18.284 |              1.1 |   101.2 |    0.714 |        12.4 |               0.4 |        85.0 |               1.5 |
|    111225A |   111225 |            3.844 |  0.877 |  51.573 |              1.0 |   106.8 |    0.297 |         0.7 |               0.1 |        13.0 |               0.9 |
|    111123A |   111123 |           18.222 | 10.323 | -20.639 |              0.8 |   290.0 |    3.151 |         0.9 |               0.1 |        73.0 |               2.3 |
|    111107A |   111107 |             0.84 |  8.632 |  -66.52 |              0.9 |    26.6 |    2.893 |         1.2 |               0.2 |         8.8 |               0.6 |
|    111008A |   111008 |           22.216 |  4.029 | -32.708 |              0.9 |   63.46 |      5.0 |         6.4 |               0.5 |        53.0 |               2.3 |
|    110818A |   110818 |            20.63 | 21.158 | -63.981 |              1.1 |   103.0 |     3.36 |         1.6 |               0.2 |        40.0 |               1.5 |
|    110808A |   110808 |            6.315 |  3.821 | -44.177 |              2.0 |    48.0 |    1.348 |         0.4 |               0.2 |         3.3 |               0.6 |
|    110801A |   110801 |           19.828 |  5.961 |  80.958 |              0.8 |   385.0 |    1.858 |         1.1 |               0.2 |        47.0 |               2.3 |
|    110731A |   110731 |           11.158 | 18.701 | -28.536 |              0.8 |    38.8 |     2.83 |        11.0 |               0.2 |        60.0 |               0.8 |
|    110715A |   110715 |           13.231 | 15.844 | -46.237 |              0.8 |    13.0 |     0.82 |        53.9 |               0.8 |       118.0 |               1.5 |
|    110503A |   110503 |           17.596 |  8.853 |  52.211 |              0.8 |    10.0 |    1.613 |        1.35 |               0.0 |       100.0 |               3.0 |
|    110422A |   110422 |           15.699 |   7.47 |    75.1 |              0.8 |    25.9 |     1.77 |        30.7 |               0.8 |       410.0 |               7.6 |
|    110213A |   110213 |            5.291 |  2.865 |  49.278 |              1.1 |    48.0 |     1.46 |         1.6 |               0.5 |        59.0 |               3.0 |
|    110205A |   110205 |            2.045 | 10.974 |  67.533 |              1.7 |   257.0 |     1.98 |         3.6 |               0.2 |       170.0 |               0.0 |
|    110128A |   110128 |            1.742 | 12.925 |  28.108 |              1.7 |    30.7 |    2.339 |         0.8 |               0.2 |         7.2 |               1.1 |
|    101225A |   101225 |           18.629 |  0.014 | 44.5739 |              2.7 |  1088.0 |    0.847 |         0.0 |               0.0 |        19.0 |               3.0 |
|    101219B |   101219 |           16.465 |  0.817 | -34.556 |              2.9 |    34.0 |    0.551 |         0.6 |               0.2 |        21.0 |               3.0 |
|    101219A |   101219 |            2.525 |  4.972 |  -2.527 |              0.8 |     0.6 |    0.718 |         4.1 |               0.2 |         4.6 |               0.2 |
|    100906A |   100906 |           13.824 |  1.913 |  55.634 |              0.8 |   114.4 |    1.727 |        10.1 |               0.3 |       120.0 |               0.0 |
|    100902A |   100902 |           19.532 |  3.242 |   30.97 |              1.0 |   428.8 |      4.5 |         1.0 |               0.1 |        32.0 |               1.5 |
