| Swift name | Swift ID | BAT Trigger-time | BAT RA | BAT Dec | BAT Error-radius | BAT T90 | redshift | BAT Phoflux | BAT Phoflux_error | BAT fluence | BAT fluence_error |
|     080928 |    80928 |           15.026 |  6.337 | -55.176 |              1.7 |   280.0 |    1.692 |         2.1 |               0.1 |        25.0 |               1.5 |
|    080916A |    80916 |            9.756 | 22.419 | -57.026 |              0.8 |    60.0 |    0.689 |         2.7 |               0.2 |        40.0 |               0.8 |
|     080913 |    80913 |            6.782 |  4.383 | -25.127 |              1.1 |     8.0 |     6.44 |         1.4 |               0.2 |         5.6 |               0.5 |
|     080906 |    80906 |           13.554 | 15.204 |  -80.54 |              1.3 |   147.0 |      2.0 |         1.0 |               0.2 |        35.0 |               1.5 |
|    080905B |    80905 |           16.929 | 20.116 | -62.568 |              1.4 |   128.0 |    2.374 |         0.5 |               0.1 |        18.0 |               1.5 |
|    080905A |    80905 |           11.982 | 19.178 | -18.865 |              1.6 |     1.0 |    0.121 |         1.3 |               0.2 |         1.4 |               0.2 |
|     080810 |    80810 |            13.17 | 23.786 |    0.31 |              0.9 |   106.0 |     3.35 |         2.0 |               0.2 |        46.0 |               1.5 |
|     080805 |    80805 |            7.693 | 20.949 | -62.433 |              0.8 |    78.0 |    1.505 |         1.1 |               0.1 |        25.0 |               0.8 |
|     080804 |    80804 |           23.337 | 21.912 | -53.189 |              0.9 |    34.0 |    2.204 |         3.1 |               0.3 |        36.0 |               1.5 |
|     080721 |    80721 |           10.421 | 14.965 | -11.709 |              1.0 |    16.2 |    2.602 |        20.9 |               1.4 |       120.0 |               7.6 |
|     080710 |    80710 |            7.219 |  0.551 |  19.484 |              1.7 |   120.0 |    0.845 |         1.0 |               0.2 |        14.0 |               1.5 |
|     080707 |    80707 |            8.465 |  2.175 |    33.1 |              1.4 |    27.1 |     1.23 |         1.0 |               0.1 |         5.2 |               0.5 |
|     080607 |    80607 |            6.124 | 12.998 |   15.91 |              0.8 |    79.0 |    3.036 |        23.1 |               0.8 |       240.0 |               0.0 |
|     080605 |    80605 |           23.799 | 17.475 |    4.01 |              0.8 |    20.0 |    1.639 |        19.9 |               0.5 |       133.0 |               1.5 |
|     080604 |    80604 |             7.45 | 15.797 |  20.557 |              1.5 |    82.0 |    1.416 |         0.4 |               0.1 |         8.0 |               0.7 |
|    080603B |    80603 |           19.637 |  11.77 |  68.061 |              0.8 |    60.0 |     2.69 |         3.5 |               0.2 |        24.0 |               0.8 |
|     080520 |    80520 |            22.34 | 18.679 | -54.964 |              1.8 |     2.8 |    1.545 |         0.5 |               0.1 |        0.55 |               0.1 |
|     080516 |    80516 |            0.285 |  8.044 | -26.146 |              1.6 |     5.8 |      3.2 |         1.8 |               0.2 |         2.6 |               0.3 |
|     080430 |    80430 |           19.884 | 11.022 |  51.682 |              0.8 |    16.2 |     0.75 |         2.6 |               0.2 |        12.0 |               0.8 |
|    080413B |    80413 |            8.853 | 21.743 | -19.981 |              0.8 |     8.0 |      1.1 |        18.7 |               0.6 |        32.0 |               0.8 |
|    080413A |    80413 |            2.905 | 19.153 | -27.677 |              0.8 |    46.0 |    2.433 |         5.6 |               0.2 |        35.0 |               0.8 |
|     080411 |    80411 |           21.259 |  2.531 | -71.297 |              0.8 |    56.0 |     1.03 |        43.2 |               0.7 |       264.0 |               0.8 |
|     080330 |    80330 |            3.688 | 11.285 |  30.607 |              1.4 |    61.0 |     1.51 |         0.9 |               0.2 |         3.4 |               0.6 |
|    080319C |    80319 |           12.432 | 17.267 |  55.393 |              0.8 |    34.0 |     1.95 |         5.2 |               0.2 |        36.0 |               0.8 |
|     080310 |    80310 |            8.633 | 14.669 |  -0.164 |              1.1 |   365.0 |    2.426 |         1.3 |               0.2 |        23.0 |               1.5 |
|     080210 |    80210 |            7.835 | 16.751 |  13.826 |              0.8 |    45.0 |    2.641 |         1.6 |               0.2 |        18.0 |               0.8 |
|     080207 |    80207 |           21.506 | 13.834 |   7.492 |              0.9 |   340.0 |    2.085 |         1.0 |               0.2 |        61.0 |               1.5 |
|     071227 |    71227 |            20.23 |  3.875 | -55.959 |              1.3 |     1.8 |    0.383 |         1.6 |               0.2 |         2.2 |               0.2 |
|     071122 |    71122 |             1.39 | 18.438 |  47.102 |              1.7 |    68.7 |     1.14 |         0.4 |               0.2 |         5.8 |               0.8 |
|     071117 |    71117 |           14.835 | 22.335 | -63.442 |              0.8 |     6.6 |    1.331 |        11.3 |               0.3 |        24.0 |               0.8 |
|    071112C |    71112 |           18.549 |  2.615 |  28.368 |              0.8 |    15.0 |    0.823 |         8.0 |               0.8 |        30.0 |               3.0 |
|     071031 |    71031 |             1.11 |  0.427 | -58.048 |              1.6 |   180.0 |    2.692 |         0.5 |               0.1 |         9.0 |               1.0 |
|    071028B |    71028 |            2.729 | 23.611 |  -31.63 |              2.3 |    55.0 |     0.94 |         1.4 |               0.4 |         2.5 |               0.6 |
|     071021 |    71021 |            9.692 | 22.705 |  23.764 |              2.6 |   225.0 |    2.452 |         0.7 |               0.1 |        13.0 |               1.5 |
|    071010A |    71010 |            3.687 | 19.203 | -32.385 |              1.9 |     6.0 |     0.98 |         0.8 |               0.2 |         2.0 |               0.3 |
|     071003 |    71003 |            7.682 | 20.124 |  10.954 |              0.8 |   150.0 |      1.1 |         6.3 |               0.3 |        83.0 |               2.3 |
|    070810A |    70810 |            2.198 | 12.663 |  10.747 |              1.0 |    11.0 |     2.17 |         1.9 |               0.2 |         6.9 |               0.5 |
|     070802 |    70802 |            7.124 |   2.46 | -55.517 |              1.5 |    16.4 |     2.45 |         0.4 |               0.1 |         2.8 |               0.4 |
|    070724A |    70724 |           10.897 |  1.855 |  -18.61 |              0.9 |     0.4 |    0.457 |         1.0 |               0.2 |         0.3 |               0.1 |
|    070721B |    70721 |           10.563 |  2.209 |  -2.198 |              0.9 |   340.0 |    3.626 |         1.5 |               0.2 |        36.0 |               1.5 |
|    070714B |    70714 |            4.991 |  3.857 |  28.294 |              1.1 |    64.0 |     0.92 |         2.7 |               0.2 |         7.2 |               0.7 |
|    070612A |    70612 |            2.646 |   8.09 |  37.258 |              1.1 |   368.8 |    0.617 |        1.51 |               0.3 |       106.0 |               4.5 |
|     070611 |    70611 |            1.954 |  0.134 | -29.756 |              1.4 |    12.2 |     2.04 |        0.82 |               0.2 |        3.91 |               0.4 |
|     070529 |    70529 |           12.808 | 18.914 |  20.648 |              1.3 |   109.2 |    2.499 |        1.43 |               0.3 |        25.7 |               1.9 |
|     070521 |    70521 |            6.853 | 16.177 |   30.26 |              0.8 |    37.9 |    0.553 |        6.53 |               0.2 |        80.1 |               1.3 |
|     070508 |    70508 |            4.305 | 20.855 | -78.382 |              0.8 |    20.9 |     0.82 |        24.1 |               0.5 |       196.0 |               2.1 |
|     070506 |    70506 |            5.599 | 23.147 |  10.711 |              1.4 |     4.3 |     2.31 |        0.96 |               0.1 |         2.1 |               0.2 |
|    070429B |    70429 |            3.151 | 21.867 | -38.857 |              1.4 |    0.47 |    0.904 |        1.76 |               0.2 |        0.63 |               0.1 |
|    070419A |    70419 |            9.991 | 12.184 |  39.903 |              1.7 |   115.6 |     0.97 |         0.2 |               0.1 |        5.58 |               0.6 |
|     070411 |    70411 |           20.209 |  7.156 |   1.061 |              1.1 |   121.5 |    2.954 |        0.91 |               0.1 |        27.0 |               1.2 |
|     070318 |    70318 |            7.482 |  3.232 |  -42.95 |              0.8 |    74.6 |    0.836 |        1.76 |               0.1 |        24.8 |               0.8 |
|     070306 |    70306 |           16.691 |  9.877 |   10.44 |              2.0 |   209.5 |    1.497 |        4.07 |               0.2 |        53.8 |               2.2 |
|     070208 |    70208 |            9.176 | 13.193 |  61.942 |              2.7 |    47.7 |    1.165 |         0.9 |               0.2 |        4.45 |               0.8 |
|     070129 |    70129 |           23.586 |  2.466 |  11.728 |              2.0 |   460.6 |    2.338 |        0.55 |               0.1 |        29.8 |               2.0 |
|     070110 |    70110 |            7.378 |  0.062 | -52.978 |              0.8 |    88.4 |    2.352 |         0.6 |               0.1 |        16.2 |               0.8 |
|     070103 |    70103 |           20.778 | 23.505 |  26.823 |              2.0 |    18.6 |     2.62 |        1.04 |               0.1 |        3.38 |               0.3 |
|    061222B |    61222 |            4.184 |  7.024 | -25.866 |              0.9 |    40.0 |    3.355 |        1.59 |               0.3 |        22.4 |               1.4 |
|    061222A |    61222 |            3.481 | 23.884 |  46.524 |              0.9 |    71.4 |    2.088 |        8.53 |               0.2 |        79.9 |               1.2 |
|     061217 |    61217 |            3.669 | 10.694 | -21.152 |              1.7 |    0.21 |    0.827 |        1.49 |               0.2 |        0.42 |               0.1 |
|     061210 |    61210 |           12.344 |  9.635 |  15.613 |              1.7 |    85.3 |     0.41 |        5.31 |               0.4 |        11.1 |               1.3 |
|     061201 |    61201 |           15.977 | 22.139 | -74.568 |              0.9 |    0.76 |    0.111 |        3.86 |               0.2 |        3.34 |               0.2 |
|     061121 |    61121 |           15.375 |  9.815 | -13.188 |              0.8 |    81.3 |    1.314 |        21.1 |               0.3 |       137.0 |               1.5 |
|    061110B |    61110 |           21.979 | 21.594 |   6.872 |              1.2 |   134.0 |     3.44 |        0.45 |               0.1 |        13.3 |               0.9 |
|    061110A |    61110 |           11.789 | 22.419 |  -2.252 |              0.8 |    40.7 |    0.758 |        0.53 |               0.1 |        10.6 |               0.6 |
|     061021 |    61021 |           15.652 |  9.676 | -21.953 |              0.8 |    46.2 |    0.346 |        6.11 |               0.2 |        29.6 |               0.8 |
|     061007 |    61007 |           10.136 |  3.087 | -50.496 |              0.8 |    75.3 |    1.261 |        14.6 |               0.3 |       444.0 |               4.2 |
|     060927 |    60927 |           14.126 |  21.97 |    5.37 |              0.8 |    22.5 |      5.6 |         2.7 |               0.1 |        11.3 |               0.5 |
|     060926 |    60926 |           16.812 | 17.595 |  13.039 |              1.1 |     8.0 |    3.208 |        1.09 |               0.1 |        2.19 |               0.2 |
|    060912A |    60912 |           13.932 |  0.352 |  20.971 |              0.8 |     5.0 |    0.937 |        8.58 |               0.3 |        13.5 |               0.5 |
|     060908 |    60908 |            8.956 |  2.122 |   0.335 |              0.8 |    19.3 |    1.883 |        3.03 |               0.2 |        28.0 |               0.8 |
|     060906 |    60906 |            8.546 |  2.714 |  30.362 |              1.9 |    43.5 |    3.685 |        1.97 |               0.2 |        22.1 |               1.0 |
|    060904B |    60904 |            2.518 |  3.881 |  -0.729 |              0.8 |   171.5 |    0.703 |        2.44 |               0.2 |        16.2 |               1.1 |
|     060814 |    60814 |           23.039 | 14.756 |  20.591 |              0.8 |   145.3 |     0.84 |        7.27 |               0.2 |       146.0 |               1.8 |
|     060729 |    60729 |           19.208 |  6.352 | -62.221 |              3.1 |   115.3 |     0.54 |        1.17 |               0.1 |        26.1 |               1.6 |
|     060719 |    60719 |            6.844 |  1.228 | -48.381 |              1.0 |    66.9 |    1.532 |        2.16 |               0.2 |        15.0 |               0.7 |
|     060714 |    60714 |             15.2 |  15.19 |  -6.544 |              1.1 |   115.0 |     2.71 |        1.28 |               0.1 |        28.3 |               1.3 |
|     060707 |    60707 |           21.505 | 23.805 | -17.904 |              1.1 |    66.2 |     3.43 |        1.01 |               0.2 |        16.0 |               1.1 |
|     060614 |    60614 |            12.73 | 21.392 | -53.027 |              0.8 |   108.7 |     0.13 |        11.5 |               0.6 |       204.0 |               2.7 |
|    060607A |    60607 |            5.204 |  21.98 | -22.496 |              0.8 |   102.2 |    3.082 |         1.4 |               0.1 |        25.5 |               0.8 |
|     060605 |    60605 |           18.262 | 21.475 |  -6.071 |              1.4 |    79.1 |      3.8 |        0.46 |               0.1 |        6.97 |               0.7 |
|     060604 |    60604 |           18.317 | 22.482 | -10.945 |              2.8 |    95.0 |    2.135 |        0.34 |               0.1 |        4.02 |               0.8 |
|    060602A |    60602 |           21.537 |  9.972 |   0.314 |              1.2 |    75.0 |    0.787 |        0.56 |               0.2 |        16.1 |               1.2 |
|     060526 |    60526 |           16.475 | 15.522 |   0.288 |              1.1 |   298.2 |     3.21 |        1.67 |               0.1 |        12.6 |               1.2 |
|     060522 |    60522 |            2.189 |  21.53 |   2.895 |              1.1 |    71.1 |     5.11 |        0.55 |               0.1 |        11.4 |               0.8 |
|     060512 |    60512 |           23.222 |  13.05 |  41.209 |              1.4 |     8.5 |    0.442 |        0.88 |               0.2 |        2.32 |               0.3 |
|    060510B |    60510 |            8.371 | 15.951 |  78.591 |              1.4 |   275.2 |      4.9 |        0.57 |               0.1 |        40.7 |               1.3 |
|     060505 |    60505 |              6.6 | 22.118 | -27.815 |              2.9 |     4.0 |    0.089 |        2.65 |               0.5 |        9.44 |               1.3 |
|    060502B |    60502 |           17.411 | 18.595 |  52.618 |              1.8 |   0.131 |    0.287 |        0.62 |               0.1 |         0.4 |               0.0 |
|    060502A |    60502 |            3.059 | 16.062 |  66.604 |              0.8 |    28.4 |     1.51 |        1.69 |               0.2 |        23.1 |               0.8 |
|     060418 |    60418 |            3.102 | 15.762 |   -3.64 |              0.8 |   103.1 |     1.49 |        6.52 |               0.3 |        83.3 |               1.9 |
|    060223A |    60223 |            6.073 |  3.679 | -17.134 |              0.9 |    11.3 |     4.41 |        1.35 |               0.1 |        6.73 |               0.4 |
|     060218 |    60218 |            3.575 |  3.359 |   16.91 |              1.9 |  2100.0 |    0.033 |        0.25 |               0.1 |        15.7 |               1.1 |
|     060210 |    60210 |            4.981 |  3.848 |  27.015 |              0.8 |   255.0 |     3.91 |        2.72 |               0.2 |        76.6 |               3.1 |
|     060206 |    60206 |            4.781 | 13.529 |  35.046 |              0.8 |     7.6 |    4.045 |        2.79 |               0.1 |        8.31 |               0.3 |
|     060124 |    60124 |           15.914 |   5.14 |  69.727 |              1.2 |   750.0 |      2.3 |        0.89 |               0.1 |        4.61 |               0.4 |
|     060115 |    60115 |           13.134 |    3.6 |  17.339 |              1.5 |   139.6 |     3.53 |        0.87 |               0.1 |        17.1 |               1.1 |
|     060108 |    60108 |           14.653 |  9.801 |  31.935 |              1.0 |    14.3 |     2.03 |        0.77 |               0.1 |        3.69 |               0.3 |
|    051221A |    51221 |            1.854 | 21.914 |  16.888 |              0.8 |     1.4 |    0.547 |        12.0 |               0.3 |        11.5 |               0.3 |
|    051117B |    51117 |           13.382 |   5.68 | -19.286 |              1.8 |     9.0 |    0.481 |        0.49 |               0.1 |        1.77 |               0.3 |
|     051111 |    51111 |            5.995 | 23.209 |  18.367 |              0.8 |    46.1 |    1.549 |        2.66 |               0.2 |        40.8 |               1.0 |
|    051109B |    51109 |            8.661 | 23.031 |  38.663 |              1.5 |    14.3 |     0.08 |        0.55 |               0.1 |        2.56 |               0.3 |
|    051109A |    51109 |            1.206 | 22.021 |   40.85 |              1.4 |    37.2 |    2.346 |        3.94 |               0.5 |        22.0 |               2.1 |
|    051016B |    51016 |           18.469 |  8.808 |  13.629 |              1.2 |     4.0 |    0.936 |         1.3 |               0.1 |         1.7 |               0.2 |
|     051006 |    51006 |           20.509 |  7.387 |    9.51 |              1.1 |    34.8 |    1.059 |        1.62 |               0.2 |        13.4 |               1.1 |
|     051001 |    51001 |           11.193 | 23.399 | -31.515 |              1.7 |   189.1 |    2.429 |        0.49 |               0.1 |        17.4 |               1.1 |
|    050922C |    50922 |           19.931 | 21.159 |  -8.764 |              0.8 |     4.5 |    2.198 |        7.26 |               0.2 |        16.2 |               0.4 |
|    050915A |    50915 |           11.378 |  5.446 | -28.014 |              1.1 |    52.0 |    2.527 |        0.77 |               0.1 |         8.5 |               0.7 |
|     050908 |    50908 |            5.709 |  1.364 |  -12.95 |              1.1 |    19.4 |     3.35 |         0.7 |               0.1 |        4.83 |               0.4 |
|     050826 |    50826 |            6.303 |  5.851 |  -2.658 |              1.5 |    35.5 |    0.297 |        0.38 |               0.1 |        4.13 |               0.5 |
|     050824 |    50824 |           23.204 |  0.818 |  22.602 |              1.6 |    22.6 |     0.83 |         0.5 |               0.1 |        2.66 |               0.4 |
|    050820A |    50820 |            6.581 | 22.494 |   19.56 |              0.8 |    26.0 |    2.612 |        2.45 |               0.2 |        34.4 |               1.8 |
|     050819 |    50819 |           16.399 | 23.917 |  24.871 |              1.5 |    37.7 |    2.504 |        0.38 |               0.1 |         3.5 |               0.4 |
|     050814 |    50814 |           11.649 | 17.613 |  46.324 |              1.5 |   150.9 |      5.3 |        0.71 |               0.2 |        20.1 |               1.7 |
|     050813 |    50813 |            6.753 | 16.133 |  11.244 |              2.1 |    0.45 |      1.8 |        0.94 |               0.2 |        0.44 |               0.1 |
|     050803 |    50803 |           19.233 | 23.377 |   5.788 |              0.9 |    87.9 |    0.422 |        0.96 |               0.1 |        21.5 |               1.0 |
|     050802 |    50802 |           10.134 | 14.619 |  27.799 |              1.0 |    19.0 |     1.71 |        2.75 |               0.3 |        20.0 |               1.2 |
|     050730 |    50730 |           19.973 | 14.138 |  -3.754 |              1.0 |   156.5 |    3.968 |        0.55 |               0.1 |        23.8 |               1.1 |
|     050724 |    50724 |           12.569 | 16.412 | -27.526 |              1.4 |    96.0 |    0.257 |        3.26 |               0.2 |        9.98 |               0.9 |
|    050525A |    50525 |            0.048 | 18.543 |  26.335 |              0.8 |     8.8 |    0.606 |        41.7 |               0.7 |       153.0 |               1.7 |
|    050509B |    50509 |            4.005 | 12.603 |  28.974 |              1.9 |   0.073 |    0.225 |        0.28 |               0.1 |        0.09 |               0.0 |
|     050505 |    50505 |           23.372 |  9.451 |  30.266 |              1.0 |    58.9 |     4.27 |        1.85 |               0.2 |        24.9 |               1.4 |
|    050416A |    50416 |           11.079 | 12.566 |  21.058 |              1.1 |     2.5 |    0.653 |        4.88 |               0.4 |        3.67 |               0.3 |
|     050406 |    50406 |            15.98 |  2.294 |  -50.18 |              1.9 |     5.4 |     2.44 |        0.36 |               0.1 |        0.68 |               0.1 |
|     050401 |    50401 |           14.338 | 16.525 |   2.185 |              0.8 |    33.3 |      2.9 |        10.7 |               0.7 |        82.2 |               2.3 |
|     050319 |    50319 |            9.522 | 10.278 |  43.581 |              1.8 |   152.5 |     3.24 |        1.52 |               0.2 |        13.1 |               1.1 |
|     050318 |    50318 |           15.744 |  3.313 | -46.386 |              0.8 |    32.0 |     1.44 |        3.16 |               0.2 |        10.8 |               0.6 |
|     050315 |    50315 |           20.995 | 20.432 | -42.591 |              0.8 |    95.6 |    1.949 |        1.93 |               0.2 |        32.2 |               1.1 |
|     050223 |    50223 |            3.152 | 18.093 | -62.465 |              1.1 |    22.5 |    0.591 |        0.69 |               0.1 |        6.36 |               0.5 |
|     050126 |    50126 |           12.015 | 18.541 |  42.384 |              1.1 |    24.8 |     1.29 |        0.71 |               0.1 |        8.38 |               0.6 |
