|          z_sim |      L_cut__BATSE |      L_cut__Fermi |      L_cut__Swift |       L_cut__CZTI |
|  4.60461414414 | 1.39959475068e+52 | 1.83523563527e+52 | 2.30147527195e+52 | 1.43707411088e+53 |
|  4.70471423423 | 1.49621462331e+52 | 1.93445780244e+52 | 2.45153380553e+52 | 1.53561060943e+53 |
|  4.80481432432 | 1.59757033905e+52 | 2.03676913207e+52 | 2.60833426362e+52 | 1.63895155449e+53 |
|  4.90491441441 | 1.70381388452e+52 | 2.14220043463e+52 | 2.77206288637e+52 | 1.74725085235e+53 |
|   5.0050145045 | 1.81510034253e+52 | 2.25078245282e+52 | 2.94290887572e+52 | 1.86066555632e+53 |
|  5.10511459459 | 1.93158793503e+52 | 2.36254587576e+52 | 3.12106447659e+52 | 1.97935588817e+53 |
|  5.20521468468 | 2.05343806738e+52 |  2.4775213242e+52 | 3.30672499006e+52 | 2.10348533472e+53 |
|  5.30531477477 | 2.18081538211e+52 | 2.59573942269e+52 | 3.50008883424e+52 | 2.23322064148e+53 |
|  5.40541486486 | 2.31388778488e+52 | 2.71723072142e+52 | 3.70135753661e+52 | 2.36873188432e+53 |
|  5.50551495495 | 2.45282650831e+52 | 2.84202577266e+52 | 3.91073592151e+52 | 2.51019251447e+53 |
|  5.60561504505 | 2.59780614879e+52 | 2.97015511069e+52 | 4.12843188723e+52 |  2.6577793957e+53 |
|  5.70571513514 | 2.74900470912e+52 | 3.10164925917e+52 | 4.35465669583e+52 | 2.81167285629e+53 |
|  5.80581522523 | 2.90660365031e+52 |  3.2365387458e+52 | 4.58962489609e+52 | 2.97205673531e+53 |
|  5.90591531532 | 3.07078792843e+52 | 3.37485410296e+52 | 4.83355438438e+52 | 3.13911841856e+53 |
|  6.00601540541 | 3.24174604091e+52 | 3.51662587336e+52 | 5.08666643209e+52 | 3.31304889587e+53 |
|   6.1061154955 | 3.41967007538e+52 | 3.66188461917e+52 | 5.34918576597e+52 | 3.49404280033e+53 |
|  6.20621558559 | 3.60475575089e+52 |  3.8106609298e+52 | 5.62134055215e+52 | 3.68229845307e+53 |
|  6.30631567568 |  3.7972024563e+52 | 3.96298541321e+52 | 5.90336247327e+52 | 3.87801790552e+53 |
|  6.40641576577 | 3.99721330063e+52 | 4.11888871033e+52 | 6.19548677167e+52 | 4.08140699156e+53 |
|  6.50651585586 | 4.20499516102e+52 | 4.27840153078e+52 |  6.4979522578e+52 | 4.29267536533e+53 |
|  6.60661594595 | 4.42075870938e+52 | 4.44155457461e+52 | 6.81100138354e+52 | 4.51203654457e+53 |
|  6.70671603604 | 4.64471848272e+52 | 4.60837862213e+52 | 7.13488026037e+52 | 4.73970796431e+53 |
|  6.80681612613 | 4.87709286635e+52 | 4.77890449451e+52 | 7.46983871311e+52 | 4.97591100437e+53 |
|  6.90691621622 | 5.11810424415e+52 |  4.9531630656e+52 | 7.81613031097e+52 | 5.22087105306e+53 |
|  7.00701630631 | 5.36797892297e+52 | 5.13118527337e+52 | 8.17401242669e+52 | 5.47481752293e+53 |
|   7.1071163964 | 5.62694722038e+52 | 5.31300210134e+52 | 8.54374618354e+52 | 5.73798392656e+53 |
