| Swift name | Swift ID | BAT Trigger-time | BAT RA | BAT Dec | BAT Error-radius | BAT T90 | BAT Phoflux | BAT Phoflux_error | BAT fluence | BAT fluence_error |
|    170208A |   170208 |           18.188 | 11.103 | -46.786 |              1.1 |    7.45 |         5.4 |               0.5 |        15.0 |               0.8 |
|    170206B |   170206 |           21.957 | 18.119 |  11.175 |              1.7 |   13.36 |         0.4 |               0.2 |         3.2 |               0.5 |
|    170205A |   170205 |           12.652 | 17.477 |  -0.058 |              0.8 |    26.1 |         4.3 |               0.2 |        38.0 |               0.8 |
|    170203A |   170203 |            0.061 | 22.191 |  25.186 |              1.7 |    45.2 |         0.8 |               0.2 |         6.2 |               0.8 |
|    170202A |   170202 |           18.467 | 10.168 |   5.021 |              0.8 |    46.2 |         4.7 |               0.2 |        33.0 |               0.8 |
|    170127B |   170127 |           15.224 |  1.333 |  -30.34 |              1.4 |    0.51 |         1.1 |               0.2 |         1.0 |               0.2 |
|    170127A |   170127 |           14.354 | 11.625 | -45.827 |              1.8 |   62.26 |         0.3 |               0.2 |         5.2 |               0.8 |
|    170126A |   170126 |           11.512 | 17.575 | -64.755 |              0.8 |     9.5 |         7.3 |               0.8 |        28.0 |               2.3 |
|    170115A |   170115 |           20.836 | 22.143 |   13.75 |              1.4 |    48.0 |         0.2 |               0.1 |         4.7 |               0.6 |
|    170113A |   170113 |           10.068 |  4.116 | -71.933 |              1.0 |   20.66 |         1.1 |               0.1 |         6.7 |               0.5 |
|    170112A |   170112 |            2.033 |  1.015 | -17.233 |              1.9 |    0.06 |         0.3 |               0.1 |        0.13 |               0.0 |
|    170111A |   170111 |            0.558 |  1.379 | -32.541 |              1.6 |    29.9 |         0.9 |               0.2 |         8.1 |               0.8 |
|    170101A |   170101 |            2.434 | 17.806 |  11.642 |              0.8 |    2.43 |        54.4 |               1.5 |        60.0 |               1.5 |
|    161224A |   161224 |           22.226 | 13.655 | -18.028 |              1.4 |   47.04 |         0.8 |               0.2 |         8.2 |               1.0 |
|    161220A |   161220 |            8.558 | 23.389 |  -47.48 |              1.5 |     6.0 |         0.5 |               0.1 |         1.7 |               0.2 |
|    161219B |   161219 |           18.811 |  6.114 | -26.801 |              0.8 |    6.94 |         5.3 |               0.3 |        15.0 |               0.8 |
|    161218A |   161218 |            3.793 |  16.35 |  -4.113 |              0.8 |     7.1 |        17.6 |               0.4 |        67.0 |               0.8 |
|    161217A |   161217 |            1.459 | 10.044 |  52.344 |              1.6 |    18.2 |         0.4 |               0.1 |         1.9 |               0.3 |
|    161214B |   161214 |           17.336 |  0.257 |   7.342 |              0.8 |    24.8 |         2.2 |               0.2 |        21.0 |               0.8 |
|    161129A |   161129 |            7.194 | 21.081 |  32.137 |              1.4 |   35.53 |         3.4 |               0.2 |        36.0 |               0.8 |
|    161117B |   161117 |            9.829 | 19.922 | -67.681 |              1.1 |  152.51 |         6.0 |               0.2 |        60.0 |               1.5 |
|    161117A |   161117 |            1.593 |  21.47 | -29.612 |              0.8 |   125.7 |         6.8 |               0.2 |       200.0 |               0.0 |
|    161113A |   161113 |           17.507 | 11.986 |  -5.316 |              0.8 |    42.6 |         1.4 |               0.2 |        15.0 |               0.8 |
|    161108A |   161108 |            3.542 | 12.052 |  24.905 |              1.4 |   105.1 |         0.6 |               0.1 |        11.0 |               0.8 |
|    161105A |   161105 |            4.884 |  8.013 | -44.763 |              0.9 |   177.3 |         1.4 |               0.2 |        61.0 |               1.5 |
|    161104A |   161104 |            9.707 |  5.194 | -51.447 |              1.4 |     0.1 |         0.6 |               0.1 |        0.31 |               0.0 |
|    161022A |   161022 |            2.728 |  8.599 |  54.366 |              1.6 |     7.3 |         1.6 |               0.3 |         7.5 |               0.8 |
|    161017A |   161017 |           17.864 |  9.518 |  43.125 |              0.8 |   216.3 |         2.8 |               0.2 |        53.0 |               1.5 |
|    161014A |   161014 |           12.523 | 22.175 |   7.467 |              1.1 |    18.3 |         2.9 |               0.5 |        19.0 |               1.5 |
|    161011A |   161011 |            5.915 | 16.379 |   8.313 |              1.8 |     4.3 |         0.9 |               0.2 |         2.3 |               0.3 |
|    161007A |   161007 |           21.429 |  6.894 |  23.289 |              1.2 |   201.7 |         0.4 |               0.1 |        13.0 |               1.5 |
|    161004B |   161004 |           23.133 |  7.477 | -39.896 |              0.8 |    15.9 |        10.1 |               0.3 |        88.0 |               1.5 |
|    161001A |   161001 |            1.088 |  4.795 | -57.261 |              0.8 |     2.6 |         3.5 |               0.2 |         6.7 |               0.3 |
|    160917A |   160917 |           11.505 |  19.71 |    46.4 |              1.1 |    16.0 |         2.2 |               0.2 |        13.0 |               0.8 |
|    160905A |   160905 |           11.316 | 10.817 | -50.803 |              0.8 |    64.0 |         6.3 |               0.2 |       150.0 |               1.5 |
|    160827A |   160827 |           15.779 | 11.952 | -29.178 |              1.8 |    13.3 |         0.7 |               0.2 |         4.0 |               0.5 |
|    160826A |   160826 |            6.211 | 12.208 | -67.664 |              2.0 |    52.6 |         0.4 |               0.1 |         4.9 |               0.7 |
|    160824A |   160824 |           23.374 |  5.339 |  40.039 |              0.9 |    99.3 |         1.3 |               0.2 |        26.0 |               1.5 |
|    160821B |   160821 |           22.487 | 18.667 |  62.387 |              1.1 |    0.48 |         1.7 |               0.2 |         1.0 |               0.1 |
|    160815A |   160815 |           11.753 | 19.241 |  84.298 |              0.8 |     8.6 |         4.7 |               0.3 |        14.0 |               0.8 |
|    160804A |   160804 |            1.546 | 14.777 |  10.002 |              1.0 |   144.2 |         2.9 |               0.2 |       114.0 |               2.3 |
|    160801A |   160801 |            9.475 | 14.184 |  13.485 |              1.4 |    2.85 |         1.2 |               0.2 |         1.7 |               0.2 |
|    160726A |   160726 |            1.569 |  6.587 |  -6.617 |              1.0 |     0.7 |         3.2 |               0.2 |         2.6 |               0.2 |
|    160716A |   160716 |            1.142 |   12.7 | -61.364 |              1.5 |    6.39 |         0.8 |               0.2 |         1.8 |               0.2 |
|    160714A |   160714 |            2.321 | 15.633 |  63.809 |              2.0 |    0.35 |         1.1 |               0.2 |        0.69 |               0.1 |
|    160709A |   160709 |           19.818 | 15.733 | -28.188 |              1.8 |     4.8 |         2.7 |               0.3 |         4.5 |               0.5 |
|    160705B |   160705 |           21.035 | 11.207 |  46.707 |              1.7 |    54.4 |         0.5 |               0.2 |         7.3 |               0.8 |
|    160703A |   160703 |           12.168 | 19.161 |  36.913 |              0.8 |    44.4 |         5.8 |               0.2 |        90.0 |               1.5 |
|    160630A |   160630 |            4.069 | 13.216 | -56.029 |              1.1 |    29.5 |         1.2 |               0.2 |        12.0 |               0.8 |
|    160625A |   160625 |           22.675 | 11.796 | -65.142 |              0.8 |    53.9 |         3.0 |               0.2 |        33.0 |               0.8 |
|    160624A |   160624 |            11.45 | 22.014 |  29.667 |              2.0 |     0.2 |         0.5 |               0.1 |         0.4 |               0.1 |
|    160611A |   160611 |           21.676 | 10.961 | -70.396 |              0.9 |    34.1 |         2.0 |               0.2 |        17.0 |               0.8 |
|    160607A |   160607 |           11.233 |  0.911 |  -4.952 |              0.8 |    33.4 |        21.8 |               0.4 |       210.0 |               0.0 |
|    160601A |   160601 |           14.717 | 15.662 |  64.532 |              1.4 |    0.12 |         0.9 |               0.2 |        0.66 |               0.1 |
|    160525B |   160525 |            9.419 |  9.963 |  51.197 |              1.7 |    0.29 |         0.9 |               0.2 |        0.32 |               0.1 |
|    160519A |   160519 |            0.292 |  4.741 |  31.246 |              1.7 |   35.57 |         2.4 |               0.4 |        12.0 |               1.5 |
|    160506A |   160506 |            3.488 | 17.724 | -46.127 |              1.2 |   254.5 |         0.4 |               0.2 |        15.0 |               1.5 |
|    160504A |   160504 |            19.51 | 11.338 |  56.002 |              1.3 |    53.9 |         0.7 |               0.1 |         7.3 |               0.7 |
|    160501A |   160501 |            0.675 | 19.093 | -17.249 |              1.4 |   118.0 |         0.5 |               0.2 |         9.5 |               1.0 |
