| Swift name | Swift ID | BAT Trigger-time | BAT RA | BAT Dec | BAT Error-radius | BAT T90 | BAT Phoflux | BAT Phoflux_error | BAT fluence | BAT fluence_error |
|    150204A |   150204 |            6.519 | 10.683 | -64.043 |              1.1 |    12.0 |        1.85 |               0.1 |         8.0 |               0.3 |
|    150203A |   150203 |            4.152 |   6.56 |   6.952 |              0.8 |    25.8 |         0.9 |               0.1 |         9.1 |               0.5 |
|    150202A |   150202 |           23.167 |  2.617 | -33.132 |              1.3 |    25.7 |         1.0 |               0.2 |         6.1 |               0.5 |
|    150120B |   150120 |            7.365 |  2.621 |   8.064 |              1.7 |    24.3 |         1.2 |               0.2 |         5.4 |               0.6 |
|    150120A |   150120 |            2.963 |  0.689 |   33.98 |              1.1 |     1.2 |         1.8 |               0.2 |         1.4 |               0.2 |
|    150110B |   150110 |           22.142 | 19.292 |  32.529 |              0.9 |    10.6 |         1.4 |               0.2 |         4.9 |               0.3 |
|    150103A |   150103 |           20.038 |  8.778 | -48.896 |              1.5 |    49.1 |         0.5 |               0.2 |         8.2 |               1.0 |
|    150101A |   150101 |            6.481 |  20.84 |  36.669 |              1.9 |    0.06 |         0.3 |               0.1 |        0.23 |               0.0 |
|    141225A |   141225 |           23.019 |   9.25 |  33.774 |              1.7 |   40.24 |         1.3 |               0.3 |        25.0 |               1.5 |
|    141221A |   141221 |            8.119 | 13.219 |   8.197 |              0.8 |    36.9 |         3.1 |               0.2 |        21.0 |               0.8 |
|    141220A |   141220 |            6.048 | 13.004 |  32.146 |              0.9 |    7.21 |         8.9 |               0.5 |        26.0 |               0.8 |
|    141212B |   141212 |           13.397 | 16.724 |  31.749 |              0.8 |    10.5 |         3.9 |               0.2 |        12.0 |               0.8 |
|    141212A |   141212 |           12.234 |  2.611 |  18.163 |              1.4 |     0.3 |         1.2 |               0.2 |        0.72 |               0.1 |
|    141130A |   141130 |           23.182 | 14.854 |  47.323 |              1.1 |    62.9 |         1.2 |               0.2 |        28.0 |               0.8 |
|    141121A |   141121 |            3.845 |  8.178 |  22.206 |              1.6 |   549.9 |         0.9 |               0.2 |        53.0 |               3.0 |
|    141109B |   141109 |            7.794 |  14.83 |  73.141 |              2.0 |    54.2 |         0.4 |               0.1 |         6.3 |               0.7 |
|    141109A |   141109 |            5.832 |  9.638 |  -0.581 |              2.3 |   200.0 |         2.5 |               0.2 |        68.0 |               2.3 |
|    141031B |   141031 |           14.946 | 23.792 |  41.355 |              1.7 |    16.0 |         0.3 |               0.1 |         2.5 |               0.4 |
|    141031A |   141031 |            7.307 |  8.575 |  -59.16 |              1.1 |   920.0 |         0.5 |               0.2 |        29.0 |               3.8 |
|    141026A |   141026 |            2.614 |  2.937 |  26.925 |              1.4 |   146.0 |         0.4 |               0.2 |        13.0 |               0.8 |
|    141022A |   141022 |            1.462 | 16.129 | -72.152 |              1.7 |    8.72 |         0.9 |               0.2 |         4.8 |               0.5 |
|    141020A |   141020 |            7.811 | 15.004 |  55.328 |              1.3 |   15.55 |         0.7 |               0.2 |         4.6 |               0.5 |
|    141017A |   141017 |           18.424 |   6.24 | -58.596 |              1.6 |    55.7 |         6.7 |               0.2 |        31.0 |               0.8 |
|    141015A |   141015 |            9.216 |  5.836 |   18.37 |              1.7 |    11.0 |         0.5 |               0.1 |         1.6 |               0.3 |
|    141005A |   141005 |            5.218 | 19.407 |  36.098 |              1.3 |    4.34 |         4.2 |               0.6 |        11.0 |               0.8 |
|    141004A |   141004 |           23.348 |  5.115 |  12.828 |              0.8 |    3.92 |         6.1 |               0.2 |         6.7 |               0.2 |
|    140930B |   140930 |           19.695 |  0.424 |  24.298 |              1.2 |    0.84 |         4.0 |               0.3 |         4.2 |               0.3 |
|    140927A |   140927 |            5.253 | 19.453 |   -65.4 |              1.7 |    6.26 |         0.9 |               0.2 |         2.7 |               0.4 |
|    140919A |   140919 |           15.254 | 14.769 | -32.153 |              1.1 |   151.3 |         2.0 |               0.4 |        59.0 |               3.0 |
|    140916A |   140916 |            10.73 |  2.692 | -39.688 |              1.8 |    80.1 |         1.3 |               0.3 |        17.0 |               2.3 |
|    140907A |   140907 |           16.119 |  3.209 |  46.596 |              1.1 |    79.2 |         2.5 |               0.2 |        43.0 |               1.5 |
|    140903A |   140903 |           15.008 | 15.868 |  27.608 |              0.8 |     0.3 |         2.5 |               0.2 |         1.4 |               0.1 |
|    140828A |   140828 |            6.904 |  9.469 |  14.569 |              1.0 |    18.8 |         2.2 |               0.2 |        13.0 |               0.8 |
|    140824A |   140824 |            8.674 | 13.775 |  33.285 |              1.3 |    3.09 |         1.2 |               0.2 |         1.9 |               0.2 |
|    140818B |   140818 |           18.738 | 18.078 |  -1.354 |              1.6 |    18.1 |         1.1 |               0.2 |         5.4 |               0.6 |
|    140817A |   140817 |            7.034 |  8.483 |  58.191 |              0.8 |   244.0 |         7.2 |               0.2 |        46.0 |               1.5 |
|    140730A |   140730 |           19.731 |  3.757 |  -66.58 |              1.6 |    41.3 |         0.5 |               0.1 |         2.8 |               0.4 |
|    140719B |   140719 |           20.826 |  2.649 |  -2.384 |              1.3 |    53.0 |         0.7 |               0.2 |        13.0 |               0.8 |
|    140719A |   140719 |            5.899 | 11.438 | -50.115 |              1.8 |    48.0 |         0.2 |               0.1 |         4.3 |               0.6 |
|    140716A |   140716 |           10.466 |  7.209 |  -60.15 |              1.1 |   104.0 |         5.2 |               1.1 |        59.0 |               9.1 |
|    140713A |   140713 |           18.729 | 18.743 |  59.623 |              0.9 |     5.3 |         1.9 |               0.2 |         3.7 |               0.2 |
|    140710A |   140710 |           10.278 |  2.739 |  35.499 |              1.4 |    3.52 |         1.9 |               0.2 |         2.3 |               0.2 |
|    140709B |   140709 |           15.262 |  9.736 |  63.536 |              0.8 |   155.0 |         0.9 |               0.1 |        42.0 |               1.5 |
|    140709A |   140709 |            1.228 | 20.311 |  51.222 |              0.8 |    98.6 |         3.1 |               0.2 |        53.0 |               1.5 |
|    140706A |   140706 |           19.559 |  3.285 | -38.058 |              0.8 |    48.3 |         1.8 |               0.2 |        20.0 |               0.8 |
|    140703A |   140703 |            0.621 |  0.867 |  45.102 |              1.2 |    67.1 |         2.8 |               0.5 |        39.0 |               2.3 |
|    140629A |   140629 |           14.292 | 16.601 |  41.897 |              1.4 |    42.0 |         4.2 |               0.3 |        24.0 |               1.5 |
|    140628A |   140628 |           13.594 |  2.711 |  -0.378 |              0.8 |    10.5 |         2.8 |               0.2 |        13.0 |               0.8 |
|    140626A |   140626 |             0.55 |  5.144 | -82.625 |              1.1 |    16.4 |         0.7 |               0.1 |         3.6 |               0.4 |
|    140622A |   140622 |            9.601 | 21.144 | -14.412 |              1.9 |    0.13 |         0.6 |               0.2 |        0.27 |               0.0 |
|    140619A |   140619 |           11.643 |  1.806 | -39.249 |              1.4 |   233.9 |         4.6 |               0.2 |       210.0 |               3.0 |
|    140614B |   140614 |            6.636 | 21.509 |  14.895 |              1.6 |    49.8 |         0.5 |               0.2 |         5.5 |               0.8 |
|    140607A |   140607 |           17.225 |  5.758 |  18.904 |              1.4 |   109.9 |         0.9 |               0.3 |        22.0 |               2.3 |
|    140606A |   140606 |            10.97 | 13.453 |  37.599 |              1.8 |    0.34 |         0.5 |               0.1 |        0.51 |               0.1 |
|    140529A |   140529 |            9.468 | 15.254 | -41.042 |              0.9 |     4.5 |        11.5 |               0.5 |        22.0 |               0.8 |
|    140521A |   140521 |           17.572 | 21.345 |  67.587 |              0.8 |    9.88 |         1.9 |               0.2 |         9.5 |               0.5 |
|    140518A |   140518 |            9.296 | 15.149 |  42.396 |              1.4 |    60.5 |         1.0 |               0.1 |        10.0 |               0.8 |
|    140516A |   140516 |           20.515 | 16.865 |  39.958 |              2.0 |    0.19 |         0.5 |               0.1 |        0.23 |               0.0 |
|    140515A |   140515 |             9.21 | 12.405 |  15.099 |              0.9 |    23.4 |         0.9 |               0.1 |         5.9 |               0.5 |
|    140512A |   140512 |            19.53 | 19.291 | -15.087 |              0.8 |   154.8 |         6.8 |               0.2 |       140.0 |               2.3 |
|    140509A |   140509 |             2.37 |  3.104 | -62.662 |              1.4 |    23.2 |         1.6 |               0.3 |        12.0 |               1.5 |
|    140506A |   140506 |           21.127 | 18.454 | -55.556 |              1.2 |   111.1 |        10.9 |               0.7 |        28.0 |               2.3 |
|    140502A |   140502 |            8.506 | 21.278 |  48.975 |              0.9 |    16.9 |         0.9 |               0.1 |         6.7 |               0.4 |
|    140430A |   140430 |            20.56 |  6.863 |  23.033 |              0.8 |   173.6 |         2.5 |               0.2 |        11.0 |               1.5 |
|    140428A |   140428 |           22.681 | 12.958 |  28.331 |              1.7 |   17.42 |         0.6 |               0.2 |         3.4 |               0.5 |
|    140423A |   140423 |            8.531 | 13.152 |  49.838 |              0.8 |   134.0 |         2.1 |               0.2 |        94.0 |               2.3 |
|    140419A |   140419 |            4.114 |  8.467 |  46.234 |              0.8 |    94.7 |         4.9 |               0.2 |       160.0 |               0.0 |
|    140413A |   140413 |            0.161 |  4.363 | -51.188 |              1.0 |   139.6 |         2.3 |               0.4 |        94.0 |               3.8 |
|    140412A |   140412 |           22.347 |  9.669 | -65.826 |              1.3 |    39.6 |         1.1 |               0.2 |         7.2 |               0.6 |
|    140408A |   140408 |           13.265 | 19.382 | -12.585 |              1.4 |     4.0 |         1.2 |               0.2 |         3.1 |               0.4 |
|    140331A |   140331 |             5.83 |  8.991 |   2.755 |              2.4 |   209.0 |        0.31 |               0.1 |         6.7 |               1.0 |
|    140323A |   140323 |           10.386 | 23.798 | -79.916 |              0.8 |   104.9 |         6.2 |               0.5 |       160.0 |               0.0 |
|    140320A |   140320 |            2.212 |  18.79 | -11.188 |              1.8 |    0.45 |         0.6 |               0.2 |        0.49 |               0.1 |
|    140318A |   140318 |            0.152 |  12.27 |  20.225 |              1.6 |    8.43 |         0.5 |               0.2 |         2.9 |               0.4 |
|    140311A |   140311 |           21.088 | 13.953 |   0.607 |              2.9 |    71.4 |         1.3 |               0.4 |        23.0 |               2.3 |
|    140305A |   140305 |           15.006 | 22.966 |  15.448 |              1.3 |    13.7 |         1.0 |               0.2 |         4.7 |               0.5 |
|    140304A |   140304 |           13.375 |  2.044 |   33.48 |              0.8 |    15.6 |         1.7 |               0.2 |        12.0 |               0.8 |
|    140302A |   140302 |            8.216 | 16.924 | -12.875 |              0.8 |    87.5 |         1.7 |               0.2 |        27.0 |               0.8 |
|    140301A |   140301 |           15.414 |  4.635 | -34.249 |              1.4 |    31.0 |         0.7 |               0.2 |         4.4 |               0.6 |
|    140215A |   140215 |            4.119 |  6.942 |  41.787 |              0.8 |    84.2 |         7.9 |               0.5 |        78.0 |               2.3 |
|    140213A |   140213 |            19.36 |  7.011 | -73.136 |              0.8 |    60.0 |        23.5 |               0.6 |       120.0 |               0.0 |
|    140211A |   140211 |           12.384 |  8.282 |  20.237 |              1.1 |    89.4 |         0.7 |               0.2 |        18.0 |               0.8 |
|    140209A |   140209 |            7.516 |  5.422 |  32.488 |              0.8 |    21.3 |        38.1 |               0.8 |        41.0 |               1.5 |
|    140206A |   140206 |            7.289 |  9.688 |  66.762 |              0.8 |    93.6 |        19.4 |               0.4 |       160.0 |               2.3 |
|    140129B |   140129 |           12.852 | 21.784 |  26.215 |              1.6 |    1.36 |         0.9 |               0.2 |        0.71 |               0.1 |
|    140129A |   140129 |              3.4 |  2.523 |  -1.594 |              1.7 |    2.99 |         0.9 |               0.2 |         1.3 |               0.2 |
|    140118A |   140118 |            1.534 | 22.067 | -17.937 |              1.1 |   84.15 |         1.9 |               0.2 |        26.0 |               1.5 |
|    140114A |   140114 |           11.961 | 12.567 |  27.942 |              1.4 |   139.7 |         0.9 |               0.1 |        32.0 |               0.8 |
|    140108A |   140108 |           17.312 | 21.675 |  58.749 |              0.8 |    94.0 |         6.1 |               0.2 |        70.0 |               1.5 |
|    140103A |   140103 |            0.512 | 15.474 |  37.752 |              1.3 |    17.3 |         2.1 |               0.2 |         6.0 |               0.5 |
|    140102A |   140102 |           21.294 | 14.128 |   1.332 |              0.8 |    65.0 |        29.8 |               0.5 |        77.0 |               1.5 |
|    131229A |   131229 |            6.657 |  5.682 |  -4.401 |              0.8 |   13.86 |        10.7 |               0.2 |        66.0 |               0.8 |
|    131227A |   131227 |            4.748 |  4.491 |  28.879 |              1.0 |    18.0 |         1.1 |               0.2 |         8.4 |               0.5 |
|    131226A |   131226 |            5.794 | 20.087 | -64.943 |              0.8 |     7.2 |        10.4 |               0.3 |        40.0 |               0.8 |
|    131205A |   131205 |            9.311 |  8.772 | -60.181 |              2.1 |    37.5 |         0.6 |               0.1 |         2.9 |               0.5 |
|    131202A |   131202 |           15.202 | 22.934 |  -21.65 |              2.0 |    30.4 |         0.7 |               0.2 |         6.1 |               0.8 |
|    131128A |   131128 |           15.107 | 23.687 |  31.293 |              1.2 |     3.0 |         2.7 |               0.2 |         3.2 |               0.3 |
|    131127A |   131127 |           10.193 | 22.181 |  36.596 |              1.4 |    92.1 |         1.3 |               0.2 |        19.0 |               1.5 |
|    131120A |   131120 |           14.632 | 18.596 | -12.026 |              2.3 |   131.0 |         0.5 |               0.2 |         5.7 |               1.1 |
|    131117A |   131117 |            0.568 | 22.157 | -31.761 |              1.4 |    11.0 |         0.7 |               0.1 |         2.5 |               0.3 |
|    131105A |   131105 |            2.079 |  4.732 | -63.005 |              1.1 |   112.3 |         3.5 |               0.5 |        71.0 |               3.8 |
|    131103A |   131103 |           22.124 | 23.263 | -44.645 |              1.4 |    17.3 |         1.5 |               0.2 |         8.2 |               0.8 |
|    131030A |   131030 |           20.938 | 23.005 |   -5.38 |              0.8 |    41.1 |        28.1 |               0.5 |       290.0 |               0.0 |
|    131024B |   131024 |           21.592 |  9.631 |  44.284 |              1.6 |    64.0 |         0.1 |               0.1 |        12.0 |               1.5 |
|    131024A |   131024 |           12.439 |  19.37 | -64.599 |              1.5 |   112.0 |         0.3 |               0.1 |        12.0 |               0.8 |
|    131018A |   131018 |           12.797 |  6.565 | -19.897 |              1.0 |   73.22 |         0.5 |               0.1 |        11.0 |               0.8 |
|    131004A |   131004 |           21.684 | 19.741 |  -2.952 |              0.8 |    1.54 |         3.4 |               0.2 |         2.8 |               0.2 |
|    131002B |   131002 |           10.908 |  5.009 | -75.701 |              0.9 |    39.1 |         0.6 |               0.1 |         6.2 |               0.5 |
|    131002A |   131002 |            6.906 | 16.874 |  82.036 |              2.9 |   55.59 |         1.3 |               0.1 |         6.4 |               0.6 |
|    131001A |   131001 |            5.623 |  0.554 |  25.557 |              1.2 |     4.9 |        2.57 |               0.2 |         4.9 |               0.5 |
|    130929A |   130929 |            9.609 |  9.002 | -47.554 |              1.2 |    11.1 |         1.7 |               0.2 |         6.9 |               0.6 |
|    130919A |   130919 |           11.123 | 13.819 | -10.353 |              1.2 |    97.3 |         0.5 |               0.1 |        14.0 |               1.5 |
|    130912A |   130912 |            8.582 |  3.174 |  13.999 |              1.2 |    0.28 |         2.2 |               0.2 |         1.7 |               0.2 |
|    130831B |   130831 |           13.805 |  12.83 | -29.187 |              1.6 |    37.8 |         2.4 |               0.4 |        14.0 |               1.5 |
|    130831A |   130831 |           13.071 | 23.909 |  29.431 |              0.8 |    32.5 |        13.6 |               0.5 |        65.0 |               0.2 |
|    130829A |   130829 |            5.726 | 12.162 |   46.52 |              1.0 |   42.56 |         0.6 |               0.1 |        12.0 |               0.8 |
|    130816B |   130816 |            4.894 | 11.337 | -57.527 |              1.2 |    10.0 |         0.9 |               0.1 |         2.7 |               0.3 |
|    130816A |   130816 |            1.782 |  13.14 | -58.996 |              2.0 |   29.97 |         1.5 |               0.2 |         4.3 |               0.8 |
|    130812A |   130812 |           22.381 |  6.159 | -13.285 |              0.8 |     7.6 |         2.8 |               0.2 |         5.9 |               0.2 |
|    130806A |   130806 |            2.859 |  2.394 |  67.525 |              1.2 |     6.1 |         1.3 |               0.1 |         1.7 |               0.2 |
|    130803A |   130803 |           10.048 | 14.684 |  -2.499 |              0.8 |    44.0 |         5.1 |               0.3 |        15.0 |               0.8 |
|    130727A |   130727 |           16.755 | 22.053 |  -65.54 |              0.8 |   13.57 |         7.0 |               0.2 |        38.0 |               0.8 |
|    130725B |   130725 |           17.658 | 14.282 | -11.124 |              0.9 |    10.0 |         2.2 |               0.2 |         3.9 |               0.3 |
|    130725A |   130725 |            11.62 | 15.337 |   0.624 |              1.9 |   101.8 |         0.6 |               0.2 |         9.7 |               1.3 |
|    130719A |   130719 |            5.797 |  5.936 | -11.591 |              1.4 |   177.7 |         0.6 |               0.2 |        23.0 |               1.5 |
|    130701A |   130701 |            4.295 | 23.815 |    36.1 |              0.8 |    4.38 |        17.1 |               0.5 |        44.0 |               0.8 |
|    130627B |   130627 |           12.014 | 12.128 | -55.706 |              1.4 |    28.6 |         0.8 |               0.2 |         6.1 |               0.6 |
|    130627A |   130627 |            8.918 | 12.294 | -37.114 |              2.1 |    30.8 |         1.8 |               0.4 |         9.1 |               1.4 |
|    130626A |   130626 |           10.851 | 18.209 |  -9.525 |              1.4 |    0.16 |         0.9 |               0.2 |        0.52 |               0.1 |
|    130625A |   130625 |            7.011 | 22.889 |  82.171 |              1.0 |    38.1 |         1.2 |               0.2 |        18.0 |               0.8 |
|    130623A |   130623 |           11.712 |  1.382 | -77.784 |              3.0 |    15.0 |         1.4 |               0.2 |         5.4 |               0.8 |
|    130615A |   130615 |            9.746 | 18.331 | -68.161 |              2.2 |   304.0 |         0.7 |               0.2 |        21.0 |               2.3 |
|    130612A |   130612 |            3.373 | 17.318 |  16.729 |              1.5 |     4.0 |         1.7 |               0.2 |         2.3 |               0.4 |
|    130610A |   130610 |            3.204 | 14.961 |  28.187 |              1.8 |    46.4 |         1.7 |               0.2 |        25.0 |               0.8 |
|    130609B |   130609 |           21.644 |  3.585 | -40.168 |              0.8 |   210.6 |         8.5 |               0.3 |       160.0 |               0.0 |
|    130609A |   130609 |            3.086 | 10.179 |  24.124 |              0.9 |     7.0 |         1.8 |               0.2 |         5.7 |               0.3 |
|    130608A |   130608 |           23.239 |   1.64 |  41.492 |              1.9 |  151.38 |         0.6 |               0.2 |         9.0 |               1.4 |
|    130606A |   130606 |           21.078 | 16.626 |  29.796 |              1.5 |  276.58 |         2.6 |               0.2 |        29.0 |               1.5 |
|    130605A |   130605 |           23.695 |  8.969 | -33.477 |              1.3 |    12.6 |         4.1 |               0.7 |        26.0 |               2.3 |
|    130604A |   130604 |            6.907 | 16.678 |  68.225 |              0.8 |    37.7 |         0.8 |               0.2 |        14.0 |               0.8 |
|    130603B |   130603 |           15.821 | 11.481 |  17.063 |              0.8 |    0.18 |         6.4 |               0.2 |         6.3 |               0.2 |
|    130603A |   130603 |            5.992 |  5.791 |   82.91 |              1.2 |    76.0 |         0.8 |               0.1 |        19.0 |               0.8 |
|    130529A |   130529 |           11.257 |  1.618 | -64.143 |              1.4 |   128.0 |         0.5 |               0.1 |        14.0 |               1.5 |
|    130528A |   130528 |            16.69 |  9.294 |    87.3 |              0.8 |    59.4 |         3.0 |               0.2 |        51.0 |               1.5 |
|    130527A |   130527 |           14.358 | 20.619 | -24.726 |              0.8 |    44.0 |        20.1 |               1.1 |       120.0 |               3.0 |
|    130521A |   130521 |           22.821 |  5.838 |   14.47 |              1.2 |    11.0 |         1.9 |               0.2 |         4.2 |               0.4 |
|    130515A |   130515 |            1.355 | 18.896 | -54.283 |              1.2 |    0.29 |         1.4 |               0.2 |         1.5 |               0.2 |
|    130514A |   130514 |            7.228 | 19.752 |  -7.974 |              0.8 |   204.0 |         2.8 |               0.2 |        91.0 |               1.5 |
|    130511A |   130511 |           11.513 |  13.11 |  18.709 |              1.7 |    5.43 |         1.3 |               0.2 |         2.2 |               0.3 |
|    130508A |   130508 |           17.148 | 20.357 |  34.966 |              1.7 |    42.0 |         0.7 |               0.2 |         6.6 |               0.8 |
|    130505A |   130505 |            8.374 |  9.137 |  17.485 |              1.1 |    88.0 |        30.0 |               2.3 |       210.0 |               7.6 |
|    130504A |   130504 |            2.093 | 18.164 |  -16.32 |              1.3 |    50.0 |         0.9 |               0.2 |        10.0 |               0.8 |
|    130502A |   130502 |           17.842 |  9.239 |  -0.134 |              1.4 |     3.0 |         2.9 |               0.2 |         3.8 |               0.3 |
|    130427B |   130427 |           13.345 | 20.993 | -22.548 |              1.1 |    27.0 |         3.0 |               0.3 |        15.0 |               0.8 |
|    130427A |   130427 |            7.799 | 11.543 |  27.706 |              0.8 |  162.83 |       331.0 |               3.5 |      3100.0 |              22.7 |
|    130420B |   130420 |           12.942 | 12.206 |  54.376 |              0.8 |    10.2 |         1.4 |               0.1 |         6.0 |               0.4 |
|    130420A |   130420 |            7.475 | 13.075 |  59.421 |              0.8 |   123.5 |         3.4 |               0.2 |        71.0 |               2.3 |
|    130419A |   130419 |           13.508 | 23.685 |     9.9 |              2.0 |    75.7 |         0.3 |               0.2 |         7.8 |               1.1 |
|    130408A |   130408 |           21.861 |   8.96 | -32.363 |              1.7 |    28.0 |         4.9 |               0.8 |        23.0 |               3.0 |
|    130327A |   130327 |            1.793 |  6.132 |  55.732 |              1.7 |     9.0 |         0.9 |               0.2 |         2.3 |               0.4 |
|    130315A |   130315 |           12.759 | 10.503 | -51.794 |              1.0 |   233.4 |         1.0 |               0.2 |        49.0 |               1.5 |
|    130313A |   130313 |           16.136 | 15.763 |  -0.355 |              2.0 |    0.26 |         0.5 |               0.1 |        0.31 |               0.1 |
|    130216B |   130216 |            18.97 |  3.924 |   2.036 |              1.1 |     3.7 |         7.4 |               0.5 |        13.0 |               2.3 |
|    130216A |   130216 |           22.257 |  4.527 |   14.67 |              0.8 |     6.5 |         6.5 |               0.2 |        30.0 |               0.8 |
|    130215A |   130215 |            1.525 |  2.899 |  13.387 |              1.1 |    65.7 |         2.5 |               0.5 |        54.0 |               3.8 |
|    130211A |   130211 |            3.609 |  9.835 |  -42.33 |              1.6 |    25.1 |         0.7 |               0.2 |         6.4 |               0.8 |
|    130206A |   130206 |           19.608 |  9.359 | -58.193 |              1.4 |   128.0 |         0.3 |               0.2 |        20.0 |               1.5 |
|    130131B |   130131 |           19.169 | 11.597 |  15.033 |              1.3 |     4.3 |         1.0 |               0.2 |         3.4 |               0.3 |
|    130131A |   130131 |           13.939 | 11.406 |  48.064 |              1.6 |    51.6 |         0.7 |               0.1 |         3.1 |               0.5 |
|    130122A |   130122 |           23.736 | 12.954 |  59.003 |              2.3 |    64.0 |         0.4 |               0.1 |         7.4 |               0.8 |
|    130102A |   130102 |           18.181 | 20.762 |  49.838 |              1.7 |    77.5 |         0.4 |               0.1 |         7.2 |               0.7 |
|    121226A |   121226 |           19.162 | 11.241 | -30.413 |              1.5 |     1.0 |         1.6 |               0.2 |         1.4 |               0.2 |
|    121217A |   121217 |            7.296 | 10.247 | -62.354 |              0.8 |   778.0 |         1.8 |               0.1 |        62.0 |               2.3 |
|    121212A |   121212 |            6.937 | 11.852 |  78.052 |              1.6 |     6.8 |         0.7 |               0.1 |         1.2 |               0.2 |
|    121211A |   121211 |           13.784 | 13.038 |  30.173 |              3.7 |   182.0 |         1.0 |               0.2 |        13.0 |               2.0 |
|    121209A |   121209 |           21.986 | 21.787 |  -8.232 |              1.3 |    42.7 |         3.4 |               0.2 |        29.0 |               0.8 |
|    121202A |   121202 |            4.335 | 17.119 |  23.942 |              0.9 |    20.1 |         1.2 |               0.2 |        12.0 |               0.8 |
|    121201A |   121201 |           12.428 |  0.898 | -42.929 |              1.7 |    85.0 |         0.8 |               0.1 |         7.8 |               0.8 |
|    121128A |   121128 |            5.094 | 20.039 |  54.301 |              0.8 |    23.3 |        12.9 |               0.3 |        69.0 |               3.0 |
|    121125A |   121125 |            8.541 | 15.235 |  55.318 |              0.9 |    52.2 |         2.9 |               0.2 |        47.0 |               0.8 |
|    121123A |   121123 |           10.045 | 20.489 | -11.873 |              1.4 |   317.0 |         2.6 |               0.2 |       150.0 |               7.6 |
|    121117A |   121117 |            8.849 |  2.108 |   7.432 |              0.8 |    30.0 |         1.1 |               0.1 |        14.0 |               1.5 |
|    121108A |   121108 |           17.794 |  5.548 |   54.52 |              1.7 |    89.0 |         1.6 |               0.2 |         9.6 |               0.9 |
|    121102A |   121102 |            2.451 |  18.06 | -16.951 |              0.8 |    24.7 |         2.3 |               0.2 |        19.0 |               0.8 |
|    121031A |   121031 |           22.842 | 11.385 |  -3.513 |              0.8 |   226.0 |         2.4 |               0.2 |        78.0 |               1.5 |
|    121028A |   121028 |            5.075 | 18.127 |  -2.298 |              1.1 |     3.8 |         1.9 |               0.2 |         3.7 |               0.3 |
|    121027A |   121027 |            7.541 |   4.24 | -58.839 |              0.8 |    62.6 |         1.3 |               0.2 |        20.0 |               0.8 |
|    121024A |   121024 |            2.937 |  4.699 | -12.255 |              1.3 |    69.0 |         1.3 |               0.2 |        11.0 |               0.8 |
|    121017A |   121017 |           19.391 | 19.255 |  -1.602 |              1.1 |     4.2 |         3.3 |               0.3 |         6.6 |               0.5 |
|    121014A |   121014 |           20.199 |  11.11 | -29.105 |              1.5 |    80.0 |         0.3 |               0.2 |        11.0 |               0.8 |
|    121011A |   121011 |           11.258 | 17.347 |  41.123 |              1.4 |    75.6 |         1.2 |               0.2 |        27.0 |               5.3 |
|    121001A |   121001 |           18.384 | 18.402 |  -5.667 |              1.8 |   147.0 |         0.5 |               0.1 |        17.0 |               1.5 |
|    120927A |   120927 |           22.679 |  9.107 |    0.42 |              0.8 |    43.0 |         1.6 |               0.2 |        26.0 |               2.3 |
|    120923A |   120923 |            5.268 | 20.252 |   6.255 |              1.6 |    27.2 |         0.6 |               0.1 |         3.2 |               0.6 |
|    120922A |   120922 |           22.508 | 15.651 | -20.181 |              0.9 |   173.0 |         2.0 |               0.2 |        62.0 |               5.3 |
|    120918A |   120918 |           11.269 | 12.069 | -32.762 |              0.8 |    25.1 |         4.5 |               0.4 |        37.0 |               4.5 |
|    120913B |   120913 |           23.933 | 14.244 | -14.508 |              0.8 |   126.0 |         3.2 |               0.2 |       111.0 |               1.5 |
|    120913A |   120913 |           20.306 |   9.76 |  26.959 |              0.9 |    30.1 |         2.3 |               0.2 |         8.7 |               0.6 |
|    120911A |   120911 |            7.142 | 23.864 |   63.09 |              1.2 |    17.8 |         2.7 |               0.2 |        11.0 |               0.8 |
|    120907A |   120907 |            0.406 |  4.982 |  -9.323 |              1.5 |    16.9 |         2.9 |               0.3 |         6.7 |               0.8 |
|    120819A |   120819 |           13.171 | 15.726 |  -7.304 |              2.2 |    71.0 |         0.8 |               0.2 |        14.0 |               1.5 |
|    120817A |   120817 |            6.828 | 16.713 | -38.377 |              1.1 |    28.2 |         0.8 |               0.1 |         6.9 |               0.5 |
|    120816A |   120816 |           19.309 | 18.809 |  -6.981 |              1.9 |     7.6 |         2.1 |               0.4 |         4.3 |               0.8 |
|    120815A |   120815 |            2.233 | 18.265 | -52.125 |              1.4 |     9.7 |         2.2 |               0.2 |         4.9 |               0.5 |
|    120811C |   120811 |           15.581 | 13.313 |  62.297 |              0.8 |    26.8 |         4.1 |               0.2 |        30.0 |               2.3 |
|    120811A |   120811 |            2.588 | 17.146 | -22.735 |              2.0 |   166.0 |         1.0 |               0.1 |        11.0 |               0.8 |
|    120807A |   120807 |             7.16 | 16.085 | -47.455 |              1.6 |    20.0 |         0.9 |               0.1 |         2.9 |               0.4 |
|    120805A |   120805 |           21.469 | 14.436 |   5.853 |              1.7 |    48.0 |        0.37 |               0.2 |         8.2 |               1.1 |
|    120804A |   120804 |            0.904 | 15.597 | -28.768 |              0.8 |    0.81 |        10.8 |               0.5 |         8.8 |               0.4 |
|    120803B |   120803 |           11.102 | 20.948 |  53.298 |              0.8 |    37.5 |         1.5 |               0.2 |        25.0 |               3.8 |
