|                z |              CSFR |      CSFR_delayed |
|            1e-05 |   0.0199596496196 |    0.261147273749 |
|  0.0010100099001 |   0.0200094351743 |    0.261837948684 |
|  0.0020100198002 |   0.0200592968709 |    0.262525063372 |
|  0.0030100297003 |   0.0201092347398 |    0.263208624266 |
|  0.0040100396004 |    0.020159248812 |    0.263888637816 |
|  0.0050100495005 |   0.0202093391179 |    0.264565110476 |
| 0.00601005940059 |   0.0202595056884 |    0.265238048697 |
| 0.00701006930069 |   0.0203097485542 |    0.265907458931 |
| 0.00801007920079 |   0.0203600677458 |     0.26657334763 |
| 0.00901008910089 |    0.020410463294 |    0.267235721247 |
|   0.010010099001 |   0.0204609352296 |    0.267894586232 |
|  0.0110101089011 |   0.0205114835831 |    0.268549949039 |
|  0.0120101188012 |   0.0205621083853 |    0.269201816118 |
|  0.0130101287013 |   0.0206128096668 |    0.269850193923 |
|  0.0140101386014 |   0.0206635874584 |    0.270495088905 |
|  0.0150101485015 |   0.0207144417908 |    0.271136507516 |
|  0.0160101584016 |   0.0207653726945 |    0.271774456208 |
|  0.0170101683017 |   0.0208163802004 |    0.272408941433 |
|  0.0180101782018 |   0.0208674643391 |    0.273039969643 |
|  0.0190101881019 |   0.0209186251413 |     0.27366754729 |
|   0.020010198002 |   0.0209698626377 |    0.274291680826 |
|  0.0210102079021 |    0.021021176859 |    0.274912376703 |
|  0.0220102178022 |   0.0210725678359 |    0.275529641373 |
|  0.0230102277023 |    0.021124035599 |    0.276143481289 |
|  0.0240102376024 |   0.0211755801791 |    0.276753902901 |
|  0.0250102475025 |   0.0212272016068 |    0.277360912662 |
|  0.0260102574026 |   0.0212788999128 |    0.277964517024 |
|  0.0270102673027 |   0.0213306751279 |    0.278564722439 |
|  0.0280102772028 |   0.0213825272826 |    0.279161535359 |
|  0.0290102871029 |   0.0214344564078 |    0.279754962236 |
|   0.030010297003 |    0.021486462534 |    0.280345009522 |
|  0.0310103069031 |   0.0215385456921 |    0.280931683668 |
|  0.0320103168032 |   0.0215907059126 |    0.281514991128 |
|  0.0330103267033 |   0.0216429432263 |    0.282094938353 |
|  0.0340103366034 |   0.0216952576638 |    0.282671531794 |
|  0.0350103465035 |   0.0217476492559 |    0.283244777904 |
|  0.0360103564036 |   0.0218001180331 |    0.283814683136 |
|  0.0370103663037 |   0.0218526640264 |     0.28438125394 |
|  0.0380103762038 |   0.0219052872662 |    0.284944496768 |
|  0.0390103861039 |   0.0219579877833 |    0.285504418074 |
|   0.040010396004 |   0.0220107656084 |    0.286061024309 |
