|    name |       pseudo z |  pseudo z_error | Epeak (siml) [keV] | Epeak_error (siml) [keV] | Luminosity [erg/s] | Luminosity_error [erg/s] |
| 070810B |  1.66902652327 | 0.0808714925826 |      540.567007794 |                      0.0 |  3.13310295306e+52 |        1.11071617582e+51 |
|  070809 |  2.18503163172 | 0.0970326993135 |      541.746986275 |                      0.0 |  3.86307949959e+52 |        1.37696807308e+51 |
|  070729 |  2.81603787868 |   0.13659046817 |      636.620029598 |                      0.0 |  5.76374160168e+52 |        2.41378220267e+51 |
|  070406 |  9.55010454595 |  0.293610851525 |      1277.64138692 |                      0.0 |   4.2792193865e+53 |         1.3933677469e+52 |
|  070209 |  15.1911603924 |  0.268757696294 |        2561.849074 |                      0.0 |  1.59393177814e+54 |        3.09555500756e+52 |
|  060801 |  1.20102189002 | 0.0301385355278 |      256.224271764 |                      0.0 |   1.0438130102e+52 |        1.67226981671e+50 |
|  060313 | 0.244012415624 | 0.0025802136829 |      147.068115513 |                      0.0 |   2.7891083362e+51 |        6.76834058895e+48 |
|  051210 |  1.77802760238 |  0.067596240115 |      277.973062095 |                      0.0 |  1.50806184186e+52 |         4.2932976271e+50 |
| 051105A |  2.33803314643 |  0.190085290669 |      190.674804716 |                      0.0 |   1.2027535428e+52 |        8.01346552617e+50 |
|  050925 | 0.998019880299 | 0.0299617218688 |      1148.10667097 |                      0.0 |   5.3878010492e+52 |        9.45288501836e+50 |
|  050202 |  2.56703541355 |  0.117323304868 |      340.552314672 |                      0.0 |  2.56148084821e+52 |        9.85720620748e+50 |
