|   Fermi name | Fermi ID | GBM Trigger-time | GBM RA | GBM Dec | GBM Error-radius | GBM T90 | GBM T90_error |     GBM flux | GBM flux_error | GBM fluence | GBM fluence_error |    Epeak | Epeak_error |        alpha | alpha_error |      beta |     beta_error |
| GRB170126480 |   170126 |           11.512 | 17.576 | -64.761 |           0.0012 |  13.824 |         3.083 | 1.840366e-06 |   9.597996e-08 |  8.5363e-06 |        6.6325e-08 | 166.1459 |    19.68326 |   -0.4581369 |   0.1125678 | -2.201035 |      0.1909621 |
| GRB170125022 |   170125 |             0.52 | 17.609 |   28.58 |            12.65 |   3.904 |          1.12 | 2.100699e-07 |   5.705237e-08 |  2.5114e-07 |        1.8003e-08 |  177.352 |    86.26403 |   -0.4492576 |   0.7946665 | -2.012723 |      0.8203665 |
| GRB170124874 |   170124 |           20.968 | 18.803 |  -75.51 |              1.0 |  22.784 |         0.572 | 8.212932e-07 |   8.090145e-08 |  8.9724e-06 |         2.343e-08 | 143.8552 |    12.38312 |    0.4693915 |   0.2796483 | -2.794531 |      0.6771052 |
| GRB170124528 |   170124 |           12.675 |  0.723 |   11.02 |             3.83 |   0.448 |         0.559 | 2.398805e-06 |   4.868546e-07 |  1.2704e-07 |        2.0608e-08 |  184.107 |    77.06606 |     2.840346 |    1.985024 | -2.084184 |      0.8448386 |
| GRB170124238 |   170124 |            5.703 | 19.449 |   69.61 |             2.61 |  39.168 |         4.891 | 6.086247e-07 |    1.23667e-07 |  6.6659e-06 |        7.6425e-08 |  186.756 |    29.65451 |   -0.0421467 |   0.3800276 | -3.223225 |        6054.78 |
| GRB170121614 |   170121 |            14.74 |  4.856 |  -12.65 |             1.78 |  46.337 |         2.187 | 2.245599e-06 |    1.31387e-07 |  2.0734e-05 |        1.2421e-07 | 583.7776 |    124.7398 |   -0.9436471 |  0.07896197 | -2.106738 |      0.2810764 |
| GRB170121133 |   170121 |            3.181 | 16.133 |   13.81 |             9.08 |     1.6 |         0.905 | 2.424652e-06 |   4.509203e-07 |  3.7107e-07 |         2.416e-08 | 240.7194 |    86.72807 |     2.915762 |    1.902762 |  -2.10007 |      0.9656496 |
| GRB170121067 |   170121 |            1.615 |  0.202 |  -75.62 |             4.07 |   2.304 |         0.286 | 2.506377e-06 |   1.105071e-07 |  1.7268e-06 |        3.2064e-08 | 1553.054 |    225.1072 |   -0.5490022 |  0.07918567 | -3.022189 |       13.11542 |
| GRB170120471 |   170120 |           11.309 | 17.522 |   12.57 |             3.83 |  28.928 |         7.697 | 5.628563e-07 |   8.121741e-08 |  3.3067e-06 |        4.5665e-08 | 136.7697 |    42.25476 |    -0.238196 |   0.4932884 | -2.002644 |       1.882487 |
| GRB170119228 |   170119 |            5.464 |  7.441 |   50.42 |             4.41 |  28.928 |         2.429 | 2.594863e-07 |   3.394738e-08 |  3.4136e-06 |        5.5555e-08 | 56.59306 |    13.98854 |    -1.627196 |   0.1921103 | -13.64441 |     16544980.0 |
| GRB170116238 |   170116 |            5.721 |  4.863 |  -87.43 |             9.37 |   9.216 |          3.62 | 5.794601e-07 |   1.051153e-07 |  1.1231e-06 |        9.1975e-08 | 314.8238 |    155.8785 |    -1.139978 |   0.3249725 | -8.940697 |       14934.58 |
| GRB170115743 |   170115 |           17.821 | 12.608 |  -46.85 |             0.26 |  44.288 |         3.083 | 8.744898e-06 |   1.665479e-07 |  5.1941e-05 |        6.2911e-08 | 1817.219 |    85.15035 |   -0.5086228 |  0.03138183 | -15.06051 |       341011.9 |
| GRB170115662 |   170115 |           15.877 |  5.437 |  -18.67 |             7.19 |  120.32 |         4.871 | 3.197594e-07 |    5.03342e-08 |  5.6362e-06 |        4.2204e-08 |    59.68 |    11.43321 |    0.2847446 |   0.5956593 | -2.420109 |      0.5220344 |
| GRB170114917 |   170114 |           22.019 |  0.805 |  -12.55 |              1.0 |  14.592 |          0.81 | 4.631896e-06 |   1.080607e-07 |   1.677e-05 |        2.1058e-08 | 222.0097 |    20.35446 |    -0.456281 |  0.07607418 | -2.127518 |      0.1037619 |
| GRB170114833 |   170114 |           19.987 |  9.195 |  -28.46 |             1.39 |  29.184 |         0.572 | 2.383223e-06 |   9.918305e-08 |  1.3898e-05 |        3.7066e-08 | 288.6134 |    47.65173 |   -0.7607629 |  0.08418077 | -2.235318 |      0.3494711 |
| GRB170112970 |   170112 |           23.269 | 13.851 |  -61.77 |             9.22 |    7.36 |         1.557 | 3.991962e-07 |   7.352164e-08 |  5.6152e-07 |        1.7537e-08 | 538.8745 |    276.9432 |    -1.233756 |   0.1964326 | -7.552253 |       4864.091 |
| GRB170111815 |   170111 |           19.567 | 18.059 |   63.71 |             6.71 |   3.072 |         1.318 | 3.266477e-07 |   4.906364e-08 |  5.9553e-07 |        1.2093e-08 | 125.7934 |    31.77443 |   -0.9248695 |   0.2600349 | -9.536743 |       27884.09 |
| GRB170111760 |   170111 |           18.243 |  7.841 |   61.52 |            14.74 |   0.832 |         0.781 | 3.507935e-06 |   5.028743e-07 |  2.6165e-07 |        2.4975e-08 | 802.1448 |    320.6566 |   -0.1046466 |   0.4407365 | -9.536743 |       4947.253 |
| GRB170110967 |   170110 |           23.214 |  3.308 |   12.05 |             7.17 |  34.048 |        12.554 | 4.359921e-07 |   9.037293e-08 |  1.2674e-06 |        3.4436e-08 | 354.4639 |    97.63388 |  -0.09738246 |   0.3575376 | -4.124669 |       18.04083 |
| GRB170109137 |   170109 |            3.293 |  7.816 |  -10.92 |             2.85 | 293.637 |          2.36 |  7.00999e-07 |   8.246998e-08 |  1.4006e-05 |        6.2748e-08 | 203.8479 |    50.50829 |     -1.00027 |   0.1505504 | -2.386364 |       29.89893 |
| GRB170101374 |   170101 |            8.976 | 10.499 |    28.9 |             9.07 |   2.304 |         0.689 | 2.650548e-07 |   7.913595e-08 |  6.2916e-07 |        4.9052e-08 | 138.4289 |    13.78797 |    0.6948628 |     0.62552 | -7.844037 |        278.011 |
| GRB170101116 |   170101 |            2.788 |  4.709 |   -1.58 |              1.2 |    12.8 |         0.362 | 1.330359e-06 |     9.3002e-08 |   1.305e-05 |        4.7569e-08 | 281.1585 |    32.80278 |   -0.5517206 |  0.09163183 | -9.240095 |       3799.122 |
| GRB161230511 |   161230 |           12.269 | 21.607 |   -8.98 |             3.99 |  48.896 |         4.382 | 4.030826e-07 |   8.964712e-08 |  2.6151e-06 |        5.2662e-08 | 345.4465 |    146.3171 |   -0.7015307 |   0.2964663 | -12.91992 |       781007.2 |
| GRB161230298 |   161230 |            7.157 | 19.669 |  -51.17 |            10.94 |   0.448 |         0.389 | 2.474801e-06 |   4.806831e-07 |  1.7285e-07 |         1.055e-08 | 430.6406 |    155.9613 |   -0.4179637 |   0.3605574 | -8.027344 |       2120.603 |
| GRB161229878 |   161229 |           21.064 |  5.402 |    6.31 |              1.0 |  33.537 |         0.362 | 3.062902e-06 |   1.561891e-07 |  3.8227e-05 |        3.7188e-08 | 458.6146 |    40.39743 |   -0.4936814 |  0.06545722 | -3.621818 |       6215.553 |
| GRB161228553 |   161228 |           13.262 |  8.619 |   43.67 |             2.24 |  47.105 |        15.625 | 4.770337e-07 |   5.371925e-08 |  4.6841e-06 |        6.9431e-08 |  191.255 |    24.08433 |     0.380112 |   0.3545225 | -20.76562 |    240108500.0 |
| GRB161228405 |   161228 |            9.724 | 23.895 |   -24.6 |             5.63 |  49.152 |         3.125 | 7.257116e-07 |    7.13959e-08 |  3.1234e-06 |        5.3707e-08 | 264.3049 |    60.60805 |   -0.7612797 |   0.1659898 | -2.208171 |      0.7720974 |
| GRB161228388 |   161228 |             9.32 | 17.378 |  -56.06 |            11.53 |  72.704 |         4.672 | 1.314199e-07 |   7.821672e-08 |  3.6017e-06 |        5.9076e-08 | 62.01106 |    9.558689 |   -0.4576416 |   0.5033442 | -8.857727 |       4177.616 |
| GRB161228032 |   161228 |            0.772 |  7.721 |   25.76 |             3.14 |  39.937 |         7.637 | 5.524128e-07 |   1.187784e-07 |  3.7599e-06 |        3.0988e-08 | 420.5247 |    121.1295 |     -0.63577 |   0.2629162 | -4.455658 |       49.01859 |
